等级,扣除物品的id,数量,属性百分比
level_kn,entryId,needNum_n,percentage
0,20015,5,0
1,20015,5,0.1
2,20015,5,0.2
3,20015,5,0.3
4,20015,10,0.4
5,20015,10,0.5
6,20015,10,0.6
7,20015,10,0.7
8,20015,15,0.9
9,20015,15,1.2
10,20015,15,1.6
11,20015,15,1.9
12,20015,40,2.2
13,20015,40,3
14,20015,40,3.9
15,20015,40,4.7
16,20015,75,5.5
17,20015,75,6.7
18,20015,75,7.9
19,20015,75,9.1
20,20015,135,10
21,20015,135,12
22,20015,135,14
23,20015,135,16
24,20015,200,18
25,20015,200,20
26,20015,200,22
27,20015,200,24
28,20015,300,27
29,20015,300,30
30,20015,300,33
31,20015,300,37
32,20015,500,40
33,20015,500,44
34,20015,500,49
35,20015,500,54
36,20015,800,59
37,20015,800,66
38,20015,800,69
39,20015,800,75
40,20015,1200,81
41,20015,1200,87
42,20015,1200,93
43,20015,1200,100
44,20015,1700,107
45,20015,1700,114
46,20015,1700,122
47,20015,1700,130
48,20015,2300,138
49,20015,2300,146
50,,,155
