f,"二级索引  100白色,101蓝色,102金色,103普通传奇,104传奇套装",说明,值
key_ks,index_ks,readMe_s,value_t
baseAttrChoice,301,物理武器,"{{""demage""},100}"
baseAttrChoice,501,物理戒指,"{{""demage""},100}"
baseAttrChoice,302,法术武器,"{{""fireatt""},100}"
baseAttrChoice,502,法术戒指,"{{""fireatt""},100}"
baseAttrChoice,201,帽子,"{{""maxHP"",""hujia""},100}"
baseAttrChoice,401,衣服,"{{""maxHP"",""firedef""},100}"
baseAttrChoice,601,腰带,"{{""maxHP""},100}"
baseAttrChoice,701,战士项链,"{{""hujia"",""critratedec""},100}"
baseAttrChoice,702,法师项链,"{{""firedef"",""firedefthr""},100}"
baseAttrChoice,703,刺客项链,"{{""dodge"",""critrate""},100}"
baseAttrChoice,704,牧师项链,"{{""critratedec"",""debuffdec""},100}"
attrFactor,300000,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300001,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300002,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
attrFactor,300003,"属性随机范围[1]={{主属性范围1},{主属性范围2},},[2]={{附加属性范围1},{附加属性范围2}}","[1]={{0.5,0.5,67},{0.5,0.65,20},{0.65,0.8,9},{0.8,1,3},{1,1,1}},[2]={{1,1,100}}"
