索引,名称,详细描述,摘要 简单描述,物品图示,物品小图标,堆栈数量,物品等级,使用等级,物品品质框,类型,子类型,商店,能否出售0否1真,能否丢弃0否1真,使用时机（0内外皆可1战斗内2战斗外3擂台）,使用对象（仅表示在战斗中的使用对象；1表示可以对自己使用；2表示对自己和己方单位使用；3表示对敌方使用；0表示不能在战斗中使用）,"货币单位(0现银、储备金,1现银,2储备金,100灵石)",购买价格（现银）,出售价格（现银）,分解获得资源点,摆摊价格上限,背包可以使用就填1,使用,使用描述,效用,初始化,是否批量使用,素材质量(1到5，灰色到金色),是否废弃(1是废弃不能生成),提示使用数量,提示使用间隔（秒）,红点使用行为,掉落模型ID,掉落光效（1是有光效）,flag
ItemEntry_kn,name_s,description_s,summary_s,Icon_n,tag_s,overlap,level,uselevel,quality,type,subtype,shopEntry_n,cansell,candrop,usetime,useobject,unit,buyprice,sellprice,splitPowder,stallLimit,isbag_n,action_s,useTitle_s,effects_t,build_t,batch,sucaitype_n,unable,tipsCount_n,tipsTime_n,tipsAction_s,dropModel_n,dropEffect_n,flag_c
20001,坐骑进阶丹,用于坐骑进阶使用，升级后可解锁坐骑技能和佩戴高阶装备。,,20001,ZUOQI_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20002,天仙进阶丹,用于天仙进阶使用，升级后可解锁天仙技能和佩戴高阶装备。,,20002,TIANXIAN_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20003,神兵进阶丹,用于神兵进阶使用，升级后可解锁神兵技能和佩戴高阶装备。,,20003,SHENBIN_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20004,翅膀进阶丹,用于翅膀进阶使用，升级后可翅膀坐骑技能和佩戴高阶装备。,,20004,CHIBANG_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20005,法阵进阶丹,用于法阵进阶使用，升级后可解锁法阵技能和佩戴高阶装备。,,20005,FAZHEN_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20006,神位进阶丹,用于神位进阶使用，升级后可解锁神位技能和佩戴高阶装备。,,20006,XIANWEI_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20007,通灵进阶丹,用于通灵进阶使用，升级后可解锁通灵技能和佩戴高阶装备。,,20007,TONGLING_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20008,元神进阶丹,用于元神进阶使用，升级后可解锁元神技能和佩戴高阶装备。,,20008,SHOUHUN_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20009,女王进阶丹,用于女王进阶使用，升级后可解锁女王技能和佩戴高阶装备。,,20009,TIANNV_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20010,仙位进阶丹,用于仙位进阶使用，升级后可解锁仙位技能和佩戴高阶装备。,,20010,XIANQI_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20011,花辇进阶丹,用于花辇进阶使用，升级后可解锁花辇技能和佩戴高阶装备。,,20011,HUANIAN_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20012,灵气进阶丹,用于灵气进阶使用，升级后可解锁灵气技能和佩戴高阶装备。,,20012,LINGQI_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
20013,宠物进阶丹,用于宠物升级使用,,20013,CHONGWU_DAN,99999,,,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,
