商店类型id,索引,客户端位置索引,商店名称,物品Entry,物品名称,商城名称拼音,商城显示消耗小图标（界面右上角）,皮肤的位置,对应的仙君id,道具数量,获取途径,获取途径名字,循环天数,哪一天,哪个套装,打几折,物品品质,"钱货币id(1，银两,3，元宝,2，绑定元宝）就这三个","消耗的物品（1幻兽令，2,仙吕令,3.........还有很多)",消耗物品数量或者钱,每日限购次数,每周限购次数,终身限购,等级条件,皇城天塔通关条件,帮会等级条件,竞技场排名条件,押镖条件,答题次数条件,个人BOSS胜利次数,全民BOSS胜利次数,生死劫条件,材料副本条件
shopEntry_kn,Index_kn,clientPos_n,shopName_s,itemEntry,itemName_c,groupName_s,costItem_n,skin_t,xianlvId,buyNumber,approach_t,approachName_s,cutDay,day_t,suit_n,discount_n,quality,money,unit,price,limit,weekLimit,lifeLimit,levelNum,gameCaseNum,factionLevel,rankingNum,convoyNum,answerNum,individualBossNum,AllBossNum,lifeDeathNum,materialsNum
1,1,1,元宝商城,20001,坐骑进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,2,2,元宝商城,20002,天仙进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,3,3,元宝商城,20003,神兵进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,4,4,元宝商城,20004,翅膀进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,5,5,元宝商城,20005,法阵进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,6,6,元宝商城,20006,神位进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,7,7,元宝商城,20007,通灵进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,8,8,元宝商城,20008,元神进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,9,9,元宝商城,20009,女王进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,10,10,元宝商城,20010,仙器进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,11,11,元宝商城,20011,花辇进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,12,12,元宝商城,20012,灵气进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,13,13,元宝商城,20013,宠物进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,14,14,元宝商城,20014,仙君进阶丹,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,15,15,元宝商城,20015,法宝升阶石,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,16,16,元宝商城,20016,房屋进阶石,yuanbao,3,,,1,,,,,,1,,3,,500,0,0,0,,,,,,,,,,
1,17,17,元宝商城,60003,宝石精华,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
1,18,18,元宝商城,60004,师徒令,yuanbao,3,,,1,,,,,,1,,3,,4800,0,0,0,,,,,,,,,,
1,19,19,元宝商城,60005,宠物技能石,yuanbao,3,,,1,,,,,,1,,3,,250,0,0,0,,,,,,,,,,
1,20,20,元宝商城,60006,特级技能石,yuanbao,3,,,1,,,,,,1,,3,,1000,0,0,0,,,,,,,,,,
1,21,21,元宝商城,60008,玄晶石,yuanbao,3,,,1,,,,,,1,,3,,800,0,0,0,,,,,,,,,,
1,22,22,元宝商城,60009,洗练石,yuanbao,3,,,1,,,,,,1,,3,,200,0,0,0,,,,,,,,,,
1,23,23,元宝商城,60010,黑铁神石,yuanbao,3,,,1,,,,,,1,,3,,600,0,0,0,,,,,,,,,,
1,24,24,元宝商城,60011,挑战令,yuanbao,3,,,1,,,,,,1,,3,,100,0,0,0,,,,,,,,,,
