当前等级,目标等级,主角升级经验,伙伴升级经验
currentLevel,nextLevel_kn,playerExp,petExp
1,2,150,38
2,3,165,41
3,4,182,46
4,5,200,50
5,6,220,55
6,7,260,65
7,8,400,100
8,9,550,138
9,10,750,188
10,11,850,213
11,12,900,225
12,13,950,238
13,14,1000,250
14,15,1050,263
15,16,1100,275
16,17,1150,288
17,18,1500,500
18,19,3000,1000
19,20,5000,1667
20,21,8000,2667
21,22,9160,3053
22,23,13740,4580
23,24,18320,6107
24,25,27480,9160
25,26,39483,13161
26,27,42291,14097
27,28,45299,15100
28,29,48521,16174
29,30,51972,17324
30,31,129047,64524
31,32,138226,69113
32,33,148057,74029
33,34,158588,79294
34,35,169867,84934
35,36,181949,90975
36,37,194890,97445
37,38,208752,104376
38,39,223599,111800
39,40,239503,119752
40,41,471976,235988
41,42,505545,252773
42,43,541502,270751
43,44,580016,290008
44,45,621270,310635
45,46,665458,332729
46,47,712789,356395
47,48,763486,381743
48,49,817789,408895
49,50,875954,437977
50,51,1510422,755211
51,52,1617851,808926
52,53,1732921,866461
53,54,1856175,928088
54,55,1988195,994098
55,56,2129606,1064803
56,57,2281074,1140537
57,58,2443315,1221658
58,59,2617096,1308548
59,60,2803237,1401619
60,61,3640388,1820194
