奖励名字,档位标准,"奖励类别1是物品列表，2是晶石,3是游戏币",道具,晶石,游戏币
name_s,point_n,prizetype_n,itemlist_t,diamond_n,funs_n
item9,60,1,"{40013,10},{40012,10},{40014,10}",,
item9,120,1,"{40013,20},{40012,20},{40014,20}",,
item9,300,1,"{40013,30},{40012,30},{40014,30}",,
item9,600,1,"{40013,40},{40012,40},{40014,40}",,
item9,1000,1,"{40013,50},{40012,50},{40014,50}",,
item9,1800,1,"{40013,64},{40012,64},{40014,64}",,
item9,2600,1,"{40013,70},{40012,70},{40014,70}",,
item9,3500,1,"{40013,84},{40012,84},{40014,84}",,
item9,5000,1,"{40013,90},{40012,90},{40014,90}",,
diamond9,60,2,,10,
diamond9,120,2,,20,
diamond9,300,2,,30,
diamond9,600,2,,40,
diamond9,1000,2,,50,
diamond9,1800,2,,64,
diamond9,2600,2,,70,
diamond9,3500,2,,84,
diamond9,5000,2,,90,
funs9,60,3,,,10
funs9,120,3,,,20
funs9,300,3,,,30
funs9,600,3,,,40
funs9,1000,3,,,50
funs9,1800,3,,,64
funs9,2600,3,,,70
funs9,3500,3,,,84
funs9,5000,3,,,90
item7,60,1,"{40013,10},{40012,10},{40014,10}",,
item7,120,1,"{40013,20},{40012,20},{40014,20}",,
item7,300,1,"{40013,30},{40012,30},{40014,30}",,
item7,600,1,"{40013,40},{40012,40},{40014,40}",,
item7,1000,1,"{40013,50},{40012,50},{40014,50}",,
item7,1800,1,"{40013,64},{40012,64},{40014,64}",,
item7,2600,1,"{40013,70},{40012,70},{40014,70}",,
molplayreturn10,170,2,,34,
molplayreturn10,340,2,,68,
molplayreturn10,510,2,,102,
molplayreturn10,680,2,,136,
molplayreturn10,850,2,,170,
molplayreturn10,1700,2,,340,
molplayreturn10,3400,2,,680,
molplayreturn10,5100,2,,1020,
molplayreturn10,6800,2,,1360,
molplayreturn10,8500,2,,1700,
gashplayreturn9,100,2,,20,
gashplayreturn9,200,2,,40,
gashplayreturn9,300,2,,60,
gashplayreturn9,600,2,,120,
gashplayreturn9,1000,2,,200,
gashplayreturn9,2000,2,,400,
gashplayreturn9,3000,2,,600,
gashplayreturn9,6000,2,,1200,
gashplayreturn9,10000,2,,2000,
allplayreturn6,600,2,,30,
allplayreturn6,1000,2,,80,
allplayreturn6,2000,2,,200,
allplayreturn6,3000,2,,400,
allplayreturn6,6000,2,,1200,
allplayreturn6,10000,2,,2000,
SevenDay7,300,1,"{40012,10},{40018,1},{40005,3}",,
SevenDay7,300,1,"{40012,10},{40003,10},{40058,1}",,
SevenDay7,300,1,"{91000,5},{40019,10}",,
SevenDay7,300,1,"{91000,5},{40021,30},{40023,20}",,
SevenDay7,300,1,"{91000,5},{40003,15},{20059,5}",,
SevenDay7,300,1,"{91000,5},{40435,2},{40023,15}",,
SevenDay7,300,1,"{40012,10},{40033,3},{40014,6}",,
