索引,说明,排名下限,排名上限,等级,组合随机抽取
index_kn,readme_c,levelLow,levelUp,level_t,queue_t
1,4200组,4200,5000,"1,10","{10001,10002,10003},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
2,3360组,3360,4200,"10,15","{10001,10002,10003},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
3,2000组,2000,3360,"15,20","{10001,10002,10003},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
4,1000组,1000,2000,"20,30","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
5,500组,500,1000,"30,40","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
6,100组,100,500,"40,50","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
7,20组,20,100,"50,60","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
8,6组,6,20,"60,70","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
9,1组,1,5,"70,80","{10001,10002,10003},{17001,17002,17003,17004,17005},{20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
