天数,冲多少点,奖励什么
dayIndex_kn,point_kn,prize_t
1,100,"{""commonEquip"",10003,1,5,11},{""commonEquip"",10023,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
2,100,"{""commonEquip"",10243,1,5,11},{""commonEquip"",10263,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
3,100,"{""commonEquip"",10283,1,5,11},{""commonEquip"",10303,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
4,100,"{""commonEquip"",10043,1,5,11},{""commonEquip"",10063,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
5,100,"{""commonEquip"",10083,1,5,11},{""commonEquip"",10103,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
6,100,"{""commonEquip"",10123,1,5,11},{""commonEquip"",10143,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
7,100,"{""commonEquip"",10163,1,5,11},{""commonEquip"",10183,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
8,100,"{""commonEquip"",10203,1,5,11},{""commonEquip"",10223,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
9,100,"{""commonEquip"",10323,1,5,11},{""commonEquip"",10343,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
10,100,"{""commonEquip"",10363,1,5,11},{""commonEquip"",10383,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
11,100,"{""commonEquip"",10403,1,5,11},{""commonEquip"",10423,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
12,100,"{""commonEquip"",10443,1,5,11},{""commonEquip"",10463,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
13,100,"{""commonEquip"",10013,1,5,11},{""commonEquip"",10033,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
14,100,"{""commonEquip"",10253,1,5,11},{""commonEquip"",10273,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
15,100,"{""commonEquip"",10293,1,5,11},{""commonEquip"",10313,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
16,100,"{""commonEquip"",10053,1,5,11},{""commonEquip"",10073,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
17,100,"{""commonEquip"",10093,1,5,11},{""commonEquip"",10113,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
18,100,"{""commonEquip"",10133,1,5,11},{""commonEquip"",10153,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
19,100,"{""commonEquip"",10173,1,5,11},{""commonEquip"",10193,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
20,100,"{""commonEquip"",10213,1,5,11},{""commonEquip"",10233,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
21,100,"{""commonEquip"",10333,1,5,11},{""commonEquip"",10353,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
22,100,"{""commonEquip"",10373,1,5,11},{""commonEquip"",10393,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
23,100,"{""commonEquip"",10413,1,5,11},{""commonEquip"",10433,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
24,100,"{""commonEquip"",10453,1,5,11},{""commonEquip"",10473,1,5,11},{""item"",60003,100},{""item"",60019,5},{""bindRmb"",500},{""item"",60046,15}"
1,4800,"{""item"",60033,1},{""item"",30001,1},{""item"",20001,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
2,4800,"{""item"",60039,1},{""item"",30007,1},{""item"",20002,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
3,4800,"{""item"",60040,1},{""item"",30008,1},{""item"",20003,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
4,4800,"{""item"",60034,1},{""item"",30002,1},{""item"",20004,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
5,4800,"{""item"",60035,1},{""item"",30003,1},{""item"",20005,50},{""item"",20013,100},{""item"",60002,100},{""bindRmb"",500}"
