类型,索引,奖励,随机物品库,权重(绑元),权重(元宝),是否为稀有物品0否1是,是否极品(1是0否),低于多少元宝不能抽中,低于多少绑元不能抽中,"分类(10连抽只能中一次的分为一类,0没有限定)",全服保底需要元宝
lType_kn,index_kn,prize_t,randItem_t,weight1,weight2,lucky,isAcura,minRmbGold,minBindGold,lType,serverRmb
1,1,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",2500,1900,0,0,,1000,0,
1,2,"{""equip"",15050,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
1,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
1,4,"{""item"",60059,1}",,1500,1000,0,0,,1000,0,
1,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
1,6,"{""equip"",15044,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
1,7,"{""item"",20009,15}","{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},",2300,1800,0,0,,,0,
1,8,"{""equip"",15043,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
1,9,"{""item"",60007,4}","{{""item"",60007,1},100},{{""item"",60007,2},80},{{""item"",60007,4},80}",600,1100,0,0,,,0,
1,10,"{""equip"",15048,1,6}","{{""equip"",15041,1,6},100},{{""equip"",15043,1,6},30},{{""equip"",15044,1,6},100},{{""equip"",15045,1,6},100},{{""equip"",15046,1,6},100},{{""equip"",15047,1,6},100},{{""equip"",15048,1,6},30},{{""equip"",15049,1,6},50},{{""equip"",15050,1,6},50}",0,75,1,0,,,1,
1,11,"{""item"",40050,1}",,0,20,1,1,,,2,120000
1,12,"{""item"",60010,3}","{{""item"",60010,1},100},{{""item"",60010,2},50},{{""item"",60010,3},20},{{""item"",60009,1},100},{{""item"",60009,2},50},{{""item"",60009,3},20}",1600,2000,0,0,,,0,
2,1,"{""item"",20016,1}",,1000,1100,0,0,,,0,
2,2,"{""talisman"",19001,1,6}","{{""talisman"",19001,1,6},100},{{""talisman"",19002,1,6},100},{{""talisman"",19003,1,6},100},{{""talisman"",19004,1,6},100},{{""talisman"",19005,1,6},50},{{""talisman"",19006,1,6},50},{{""talisman"",19007,1,6},50},{{""talisman"",19008,1,6},50}",0,100,1,0,,,1,
2,3,"{""item"",60058,1}",,1500,1100,0,0,,1000,0,
2,4,"{""item"",60059,4}",,1500,1200,0,0,,1000,0,
2,5,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1200,1,0,,,2,
2,6,"{""talisman"",19005,1,5}","{{""talisman"",19001,1,5},100},{{""talisman"",19002,1,5},100},{{""talisman"",19003,1,5},100},{{""talisman"",19004,1,5},100},{{""talisman"",19005,1,5},50},{{""talisman"",19006,1,5},50},{{""talisman"",19007,1,5},50},{{""talisman"",19008,1,5},50}",0,250,1,0,,,1,
2,7,"{""item"",20009,15}","{{""item"",20002,5},100},{{""item"",20002,8},50},{{""item"",20002,15},20},{{""item"",20001,5},100},{{""item"",20001,8},50},{{""item"",20001,15},20},{{""item"",20004,5},100},{{""item"",20004,8},50},{{""item"",20004,15},20},{{""item"",20008,5},100},{{""item"",20008,8},50},{{""item"",20008,15},20},{{""item"",20007,5},100},{{""item"",20007,8},50},{{""item"",20007,15},20},{{""item"",20005,5},100},{{""item"",20005,8},50},{{""item"",20005,15},20},{{""item"",20006,5},100},{{""item"",20006,8},50},{{""item"",20006,15},20},{{""item"",20003,5},100},{{""item"",20003,8},50},{{""item"",20003,15},20},{{""item"",20009,5},100},{{""item"",20009,8},50},{{""item"",20009,15},20},{{""item"",20010,5},100},{{""item"",20010,8},50},{{""item"",20010,15},20},{{""item"",20011,5},100},{{""item"",20011,8},50},{{""item"",20011,15},20},{{""item"",20012,5},100},{{""item"",20012,8},50},{{""item"",20012,15},20}",2500,1800,0,0,,,0,
