抽奖类型,索引,奖励,随机物品库,权重(绑元),权重(元宝),权重(元宝)开服八天内的权重,是否为稀有物品0否1是,第一使用元宝10连抽必中物品(1是0否),只能抽中一次(1是0否),是否极品(1是0否),低于多少元宝不能抽中,低于多少绑元不能抽中,"分类(10连抽只能中一次的分为一类,0没有限定)",全服保底需要元宝,哪一天
lType_kn,index_kn,prize_t,randItem_t,weight1,weight2,weight3,lucky,first,once,isAcura,minRmbGold,minBindGold,lType,serverRmb,day_t
1,1,"{""item"",60012,3}",,400,1000,1000,0,0,0,0,,,0,,"{1,3}"
1,2,"{""item"",20001,10}","{{""item"",20002,10},100},{{""item"",20001,10},100},{{""item"",20003,10},100},{{""item"",20006,10},100},{{""item"",20004,10},100},{{""item"",20008,10},100},{{""item"",20007,10},100},{{""item"",20005,10},100}",2200,2200,2200,0,0,0,0,,,0,,"{1,3}"
1,3,"{""item"",60033,1}","{{""item"",60033,1},100},{{""item"",60039,1},100},{{""item"",60040,1},100},{{""item"",60034,1},100},{{""item"",60035,1},100},{{""item"",60036,1},100},{{""item"",60037,1},100},{{""item"",60038,1},100}",0,500,500,1,0,0,1,,,0,120000,"{1,3}"
1,4,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1500,1500,1,0,0,1,,,1,,"{1,3}"
1,5,"{""item"",50101,1}",,0,1,1,0,1,1,0,,,0,,"{1,3}"
1,6,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",400,400,400,0,0,0,0,,,0,,"{1,3}"
1,7,"{""item"",60058,1}",,400,500,500,0,0,0,0,,,0,,"{1,3}"
1,8,"{""item"",60059,1}",,200,500,500,0,0,0,0,,,0,,"{1,3}"
1,9,"{""item"",50018,1}",,0,12,24,1,0,1,1,,,1,300000,"{1,3}"
1,10,"{""item"",60005,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",400,400,400,0,0,0,0,,,0,,"{1,3}"
1,11,"{""item"",20009,10}","{{""item"",20009,10},100},{{""item"",20010,10},100},{{""item"",20011,10},100},{{""item"",20012,10},100}",800,1200,1200,0,0,0,0,,,0,,"{1,3}"
1,12,"{""item"",60019,10000}","{{""item"",60019,10},1500},{{""item"",60019,15},2500},{{""item"",60019,20},4000},{{""item"",60019,50},500},{{""item"",60019,10000},1}",800,1600,1600,0,0,0,1,,,0,,"{1,3}"
2,1,"{""item"",60012,3}",,400,1000,1000,0,0,0,0,,,0,,"{4,6}"
2,2,"{""item"",20001,10}","{{""item"",20002,10},100},{{""item"",20001,10},100},{{""item"",20003,10},100},{{""item"",20006,10},100},{{""item"",20004,10},100},{{""item"",20008,10},100},{{""item"",20007,10},100},{{""item"",20005,10},100}",2200,2200,2200,0,1,0,0,,,0,,"{4,6}"
2,3,"{""item"",60033,1}","{{""item"",60033,1},100},{{""item"",60039,1},100},{{""item"",60040,1},100},{{""item"",60034,1},100},{{""item"",60035,1},100},{{""item"",60036,1},100},{{""item"",60037,1},100},{{""item"",60038,1},100}",0,500,500,1,0,0,1,,,0,,"{4,6}"
2,4,"{""item"",60046,20}","{{""item"",60046,5},300},{{""item"",60046,10},500},{{""item"",60046,20},100}",0,1500,1500,1,0,0,1,,,0,,"{4,6}"
2,5,"{""item"",60019,50}","{{""item"",60019,10},1500},{{""item"",60019,15},2500},{{""item"",60019,20},4000},{{""item"",60019,50},500},{{""item"",60019,10000},1}",400,800,800,0,0,0,0,,,0,,"{4,6}"
2,6,"{""item"",60006,10}","{{""item"",60006,10},40},{{""item"",60006,5},40},{{""item"",60005,10},100},{{""item"",60005,5},100}",400,400,400,0,0,0,0,,,0,,"{4,6}"
