索引,vip等级,充值数量,奖励物品
index_kn,vipLevel,recharge,item_t
100,1,0,"{""item"",20001,5},{""item"",20014,5},{""bindRmb"",500},{""item"",60045,1}"
101,2,0,"{""item"",20001,10},{""item"",20014,10},{""bindRmb"",1000},{""item"",60045,1}"
102,3,0,"{""item"",20001,15},{""item"",20014,15},{""bindRmb"",1500},{""item"",60045,1}"
103,4,1000,"{""item"",20001,30},{""item"",20014,30},{""bindRmb"",2000},{""item"",60045,1},{""item"",60004,1}"
104,5,5000,"{""item"",20001,50},{""item"",20014,50},{""bindRmb"",2500},{""item"",60045,1}"
105,6,10000,"{""item"",60004,1},{""item"",20014,60},{""bindRmb"",3000},{""item"",60045,1}"
106,7,20000,"{""item"",20001,80},{""item"",20014,80},{""bindRmb"",3500},{""item"",60045,1}"
107,8,50000,"{""item"",63045,1},{""item"",20014,100},{""bindRmb"",4000},{""item"",65005,1}"
108,9,100000,"{""talisman"",19005,1,5},{""item"",20014,120},{""bindRmb"",4500},"
109,10,200000,"{""equip"",15052,1,6},{""item"",20014,140},{""bindRmb"",5000},{""item"",67003,1}"
110,11,400000,"{""item"",40039,1},{""item"",20014,160},{""bindRmb"",6000},"
111,12,700000,"{""item"",50017,1},{""item"",20014,200},{""bindRmb"",8000},"
112,13,1000000,"{""item"",60033,20},{""item"",20014,300},{""bindRmb"",10000},"
113,14,1500000,"{""talisman"",19006,1,6},{""item"",20014,400},{""bindRmb"",20000},{""item"",60033,20}"
114,15,2000000,"{""item"",60033,20},{""item"",20014,500},{""bindRmb"",30000},"
115,16,3000000,"{""talisman"",19008,1,6},{""item"",20014,600},{""bindRmb"",40000},{""item"",64003,1}"
116,17,4000000,"{""item"",60033,20},{""item"",20014,700},{""bindRmb"",50000},{""item"",60045,5}"
117,18,5500000,"{""item"",60033,20},{""item"",20014,800},{""bindRmb"",60000},"
118,19,7500000,"{""item"",60033,20},{""item"",20014,900},{""bindRmb"",70000},"
119,20,10000000,"{""item"",60033,20},{""item"",20014,1000},{""bindRmb"",80000},"
