关卡ID,章节id,名称,怪物库,难度,需要玩家等级,经验奖励,关卡等级,遇多少次怪,掉落装备,,掉落库,三星通关时间,星级奖励,体力消耗,指定部下增加血量或怒气,增加奧義能量,关卡礼包npcEntryId,礼包有效期,容错,掉落神魂(3:level 4:exp)
Id_kn,chapter_n,name_s,monster_t,diff_n,plrLevel,experience,stageLevel_n,autoFightNum_n,suitid_n,etype_t,equipLib,limitTime,starPrize_t,consumePower,addHpRp_t,addMp,gift_t,giftLastTime,flag_c,shenhunItemId_t
1001,1001,东海湾1-1,"[9]=100109,[10]=100110,[11]=100109",0,1,45000,1,1,100,,,120,,0,,,,,0,
1002,1001,东海湾1-2,"[9]=100209,[10]=100210,[11]=100209",0,1,107000,1,1,100,,,120,,0,,,,,0,
1003,1001,东海湾1-3,"[9]=100309,[10]=100310,[11]=100309",0,1,170000,1,1,,,,120,,0,,,,,0,
1004,1001,东海湾1-4,"[9]=100409,[10]=100410,[11]=100409",0,1,236000,1,1,,,,120,,0,,,,,0,
1005,1001,东海湾1-5,"[9]=100509,[10]=100510,[11]=100509",0,1,335000,1,1,,,,120,,0,,,,,0,
1006,1001,东海湾1-6,"[9]=100609,[10]=100610,[11]=100609",0,1,446000,1,1,,,,120,,0,,,,,0,
1007,1001,东海湾1-7,"[9]=100709,[10]=100710,[11]=100709",0,1,530000,1,1,,,,120,,0,,,,,0,
1008,1001,东海湾1-8,"[9]=100809,[10]=100810,[11]=100809",0,1,618000,1,1,,,,120,,0,,,,,0,
1009,1001,东海湾1-9,"[9]=100909,[10]=100910,[11]=100909",0,1,708000,1,1,,,,120,,0,,,,,0,
1010,1001,东海湾1-10,"[9]=101009,[10]=101010,[11]=101009",0,1,903000,1,1,,,,120,,0,,,"{""item"",50002,5}",,0,
1011,1002,凌霄宝殿1-1,"[3]=101109,[4]=101109,[9]=101109,[10]=101110,[11]=101109",0,10,510000,10,2,,,,120,,0,,,,,0,
1012,1002,凌霄宝殿1-2,"[3]=101209,[4]=101209,[9]=101209,[10]=101210,[11]=101209",0,10,545000,10,2,,,,120,,0,,,,,0,
1013,1002,凌霄宝殿1-3,"[3]=101309,[4]=101309,[9]=101309,[10]=101310,[11]=101309",0,10,575000,10,2,,,,120,,0,,,,,0,
1014,1002,凌霄宝殿1-4,"[3]=101409,[4]=101409,[9]=101409,[10]=101410,[11]=101409",0,10,605000,10,2,,,,120,,0,,,,,0,
1015,1002,凌霄宝殿1-5,"[3]=101509,[4]=101509,[9]=101509,[10]=101510,[11]=101509",0,10,636000,10,2,,,,120,,0,,,,,0,
1016,1002,凌霄宝殿1-6,"[3]=101609,[4]=101609,[9]=101609,[10]=101610,[11]=101609",0,10,668000,10,2,,,,120,,0,,,,,0,
1017,1002,凌霄宝殿1-7,"[3]=101709,[4]=101709,[9]=101709,[10]=101710,[11]=101709",0,10,700000,10,2,,,,120,,0,,,,,0,
1018,1002,凌霄宝殿1-8,"[3]=101809,[4]=101809,[9]=101809,[10]=101810,[11]=101809",0,10,732000,10,2,,,,120,,0,,,,,0,
1019,1002,凌霄宝殿1-9,"[3]=101909,[4]=101909,[9]=101909,[10]=101910,[11]=101909",0,10,765000,10,2,,,,120,,0,,,,,0,
1020,1002,凌霄宝殿1-10,"[3]=102009,[4]=102009,[9]=102009,[10]=102010,[11]=102009",0,10,798000,10,2,,,,120,,0,,,"{""item"",50002,5}",,0,
1021,1003,凌霄宝殿2-1,"[3]=102109,[4]=102109,[9]=102109,[10]=102110,[11]=102109",0,10,1053000,10,2,,,,120,,0,,,,,0,
1022,1003,凌霄宝殿2-2,"[3]=102209,[4]=102209,[9]=102209,[10]=102210,[11]=102209",0,10,1096000,10,2,,,,120,,0,,,,,0,
1023,1003,凌霄宝殿2-3,"[3]=102309,[4]=102309,[9]=102309,[10]=102310,[11]=102309",0,10,1140000,10,2,,,,120,,0,,,,,0,
1024,1003,凌霄宝殿2-4,"[3]=102409,[4]=102409,[9]=102409,[10]=102410,[11]=102409",0,10,1185000,10,2,,,,120,,0,,,,,0,
1025,1003,凌霄宝殿2-5,"[3]=102509,[4]=102509,[9]=102509,[10]=102510,[11]=102509",0,10,1230000,10,2,,,,120,,0,,,,,0,
1026,1003,凌霄宝殿2-6,"[3]=102609,[4]=102609,[9]=102609,[10]=102610,[11]=102609",0,10,1275000,10,2,,,,120,,0,,,,,0,
1027,1003,凌霄宝殿2-7,"[3]=102709,[4]=102709,[9]=102709,[10]=102710,[11]=102709",0,10,1322000,10,2,,,,120,,0,,,,,0,
1028,1003,凌霄宝殿2-8,"[3]=102809,[4]=102809,[9]=102809,[10]=102810,[11]=102809",0,10,1368000,10,2,,,,120,,0,,,,,0,
1029,1003,凌霄宝殿2-9,"[3]=102909,[4]=102909,[9]=102909,[10]=102910,[11]=102909",0,10,1416000,10,2,,,,120,,0,,,,,0,
1030,1003,凌霄宝殿2-10,"[3]=103009,[4]=103009,[9]=103009,[10]=103010,[11]=103009",0,10,1464000,10,2,,,,120,,0,,,"{""item"",50002,5}",,0,
1031,1004,大雁塔1-1,"[3]=103109,[4]=103109,[5]=103109,[9]=103109,[10]=103110,[11]=103109",0,20,1349000,20,3,,,,120,,0,,,,,0,
1032,1004,大雁塔1-2,"[3]=103209,[4]=103209,[5]=103209,[9]=103209,[10]=103210,[11]=103209",0,20,1349000,20,3,,,,120,,0,,,,,0,
1033,1004,大雁塔1-3,"[3]=103309,[4]=103309,[5]=103309,[9]=103309,[10]=103310,[11]=103309",0,20,1437000,20,3,,,,120,,0,,,,,0,
1034,1004,大雁塔1-4,"[3]=103409,[4]=103409,[5]=103409,[9]=103409,[10]=103410,[11]=103409",0,20,1437000,20,3,,,,120,,0,,,,,0,
1035,1004,大雁塔1-5,"[3]=103509,[4]=103509,[5]=103509,[9]=103509,[10]=103510,[11]=103509",0,20,1437000,20,3,,,,120,,0,,,,,0,
1036,1004,大雁塔1-6,"[3]=103609,[4]=103609,[5]=103609,[9]=103609,[10]=103610,[11]=103609",0,20,1528000,20,3,,,,120,,0,,,,,0,
1037,1004,大雁塔1-7,"[3]=103709,[4]=103709,[5]=103709,[9]=103709,[10]=103710,[11]=103709",0,20,1528000,20,3,,,,120,,0,,,,,0,
1038,1004,大雁塔1-8,"[3]=103809,[4]=103809,[5]=103809,[9]=103809,[10]=103810,[11]=103809",0,20,1528000,20,3,,,,120,,0,,,,,0,
1039,1004,大雁塔1-9,"[3]=103909,[4]=103909,[5]=103909,[9]=103909,[10]=103910,[11]=103909",0,20,1621000,20,3,,,,120,,0,,,,,0,
1040,1004,大雁塔1-10,"[3]=104009,[4]=104009,[5]=104009,[9]=104009,[10]=104010,[11]=104009",0,20,1621000,20,3,,,,120,,0,,,"{""item"",50002,5}",,0,
1041,1005,大雁塔2-1,"[2]=104109,[3]=104109,[4]=104109,[5]=104109,[6]=104109,[9]=104109,[10]=104110,[11]=104109",0,20,1621000,20,3,,,,120,,0,,,,,0,
1042,1005,大雁塔2-2,"[2]=104209,[3]=104209,[4]=104209,[5]=104209,[6]=104209,[9]=104209,[10]=104210,[11]=104209",0,20,1717000,20,3,,,,120,,0,,,,,0,
1043,1005,大雁塔2-3,"[2]=104309,[3]=104309,[4]=104309,[5]=104309,[6]=104309,[9]=104309,[10]=104310,[11]=104309",0,20,1717000,20,3,,,,120,,0,,,,,0,
1044,1005,大雁塔2-4,"[2]=104409,[3]=104409,[4]=104409,[5]=104409,[6]=104409,[9]=104409,[10]=104410,[11]=104409",0,20,1717000,20,3,,,,120,,0,,,,,0,
1045,1005,大雁塔2-5,"[2]=104509,[3]=104509,[4]=104509,[5]=104509,[6]=104509,[9]=104509,[10]=104510,[11]=104509",0,20,2397000,20,3,,,,120,,0,,,,,0,
