,地图名称,关卡所在地图,地图等级,绑定元宝,银两,掉落装备,灰色品质装备件数,绿色品质装备件数,蓝色品质装备件数,紫色品质装备件数
chapter_kn,map_c,mapid_n,maplevel_c,bgold_n,funds_n,suitid_n,gray_n,green_n,blue_n,purple_n
1001,东海湾1章,50001,1,100,3960,101,3,3,2,1
1002,凌霄宝殿1章,50009,10,100,5060,102,3,3,2,1
1003,凌霄宝殿2章,50009,10,100,6160,102,3,3,2,1
1004,大雁塔1章,50023,20,100,6820,103,3,3,2,1
1005,大雁塔2章,50023,20,100,7700,103,3,3,2,1
1006,大雁塔3章,50023,20,100,8360,103,3,3,2,1
1007,长安城1章,50024,40,100,8580,104,3,3,2,1
1008,长安城2章,50024,40,100,9020,104,3,3,2,1
1009,长安城3章,50024,40,100,9460,104,3,3,2,1
1010,长寿村1章,50019,50,100,9680,104,3,3,2,1
1011,长寿村2章,50019,50,100,10120,104,3,3,2,1
1012,长寿村3章,50019,50,100,10560,104,3,3,2,1
1013,高老庄1章,50002,60,100,10780,105,3,3,2,1
1014,高老庄2章,50002,60,100,11000,105,3,3,2,1
1015,高老庄3章,50002,60,100,11220,105,3,3,2,1
1016,高老庄4章,50002,60,100,11440,105,3,3,2,1
1017,高老庄5章,50002,60,100,11660,105,3,3,2,1
1018,黄风岭1章,50004,70,100,11880,105,3,3,2,1
1019,黄风岭2章,50004,70,100,12100,105,3,3,2,1
1020,黄风岭3章,50004,70,100,12320,105,3,3,2,1
1021,黄风岭4章,50004,70,100,12540,105,3,3,2,1
1022,黄风岭5章,50004,70,100,12760,105,3,3,2,1
1023,流沙河1章,50010,80,100,12980,106,3,3,2,1
1024,流沙河2章,50010,80,100,12980,106,3,3,2,1
1025,流沙河3章,50010,80,100,13200,106,3,3,2,1
1026,流沙河4章,50010,80,100,13200,106,3,3,2,1
1027,流沙河5章,50010,80,100,13420,106,3,3,2,1
1028,流沙河6章,50010,80,100,13420,106,3,3,2,1
1029,流沙河7章,50010,80,100,13640,106,3,3,2,1
1030,流沙河8章,50010,80,100,13860,106,3,3,2,1
1031,五庄观1章,50020,90,100,13860,106,3,3,2,1
1032,五庄观2章,50020,90,100,14080,106,3,3,2,1
1033,五庄观3章,50020,90,100,14080,106,3,3,2,1
1034,五庄观4章,50020,90,100,14300,106,3,3,2,1
1035,五庄观5章,50020,90,100,14520,106,3,3,2,1
1036,五庄观6章,50020,90,100,14520,106,3,3,2,1
1037,五庄观7章,50020,90,100,14740,106,3,3,2,1
1038,五庄观8章,50020,90,100,14960,106,3,3,2,1
1039,花果山1章,50003,100,100,14960,107,3,3,2,1
1040,花果山2章,50003,100,100,15180,107,3,3,2,1
1041,花果山3章,50003,100,100,15180,107,3,3,2,1
1042,花果山4章,50003,100,100,15400,107,3,3,2,1
1043,花果山5章,50003,100,100,15400,107,3,3,2,1
1044,花果山6章,50003,100,100,15620,107,3,3,2,1
1045,花果山7章,50003,100,100,15620,107,3,3,2,1
1046,花果山8章,50003,100,100,15840,107,3,3,2,1
1047,花果山9章,50003,100,100,15840,107,3,3,2,1
1048,花果山10章,50003,100,100,16060,107,3,3,2,1
1049,乌鸡国1章,50017,110,100,16060,107,3,3,2,1
1050,乌鸡国2章,50017,110,100,16280,107,3,3,2,1
1051,乌鸡国3章,50017,110,100,16280,107,3,3,2,1
