.,readme,受击恢复怒气,杀死目标恢复怒气,暴击恢复,闪避恢复,初始能量,基础命中率(小数),基础闪避率(小数),最小暴击率(小数),最大暴击率(小数),基础状态命中率（小数）,基础状态抵抗率（小数）,最大状态命中率,最小状态命中率
index_kn,readme_c,beattack,kill,critical,dodge,base,HitRate,DodgeRate,MinCriticalRate,MaxCriticalRate,DebuffHitRate,DebuffDecRate,MaxDebuffRate,MinDebuffRate
0,默认,1,20,0,0,0,1,0,0,0.5,1,0.05,1,0.1
40000,,2,30,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
40001,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
40002,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
40003,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
40004,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18000,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18001,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18002,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18003,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18004,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18005,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18006,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18007,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18008,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18009,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18010,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18011,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18012,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18013,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18014,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18015,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18016,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18017,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18018,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18019,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18020,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
18021,,1,20,0,0,0,1,0.05,0.05,0.5,1,0.05,1,0.1
102408,,0,20,0,0,0,1,0,0,0.5,1,0.05,1,0.1
