索引,说明,怪物等级-1代表取玩家等级,怪物库,怪物组合,flag
index_kn,readme_c,level,monster_t,combin_t,flag_c
41000,鱼魔（封魔）,1,"[2]=700102,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41001,牛魔（封魔）,1,"[2]=700302,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41002,鱼魔（封魔）,1,"[2]=700102,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41003,恶魔（封魔）,1,"[2]=700402,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41004,牛魔（封魔）,1,"[2]=700302,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41005,斧魔（封魔）,1,"[2]=700202,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41006,斧魔（封魔）,1,"[2]=700202,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41007,鱼魔（封魔）,1,"[2]=700102,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41008,狼魔（封魔）,1,"[2]=700002,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41009,狼魔（封魔）,1,"[2]=700002,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41010,食人魔（封魔）,1,"[2]=700502,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41011,食人魔（封魔）,1,"[2]=700502,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41012,食人魔（封魔）,1,"[2]=700502,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41013,狼魔（封魔）,1,"[2]=700002,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41014,狮鹫魔（封魔）,1,"[2]=700702,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41015,狮鹫魔（封魔）,1,"[2]=700702,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41016,狮鹫魔（封魔）,1,"[2]=700702,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41017,牛魔（封魔）,1,"[2]=700302,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41018,圣魔（封魔）,1,"[2]=700602,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41019,圣魔（封魔）,1,"[2]=700602,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41020,恶魔（封魔）,1,"[2]=700402,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41021,恶魔（封魔）,1,"[2]=700402,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41022,圣魔（封魔）,1,"[2]=700602,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41023,狮鹫魔（封魔）,1,"[2]=700702,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41024,狼魔（封魔）,1,"[2]=700002,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41025,牛魔（封魔）,1,"[2]=700302,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41026,恶魔（封魔）,1,"[2]=700402,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41027,斧魔（封魔）,1,"[2]=700202,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41028,食人魔（封魔）,1,"[2]=700502,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
41029,圣魔（封魔）,1,"[2]=700602,[4]=0,[6]=0,[7]=0,[9]=0,[11]=0,[14]=0,[16]=0,[18]=0",,0
