名称,名称,ID,状态类型Buff DeBuff Null,技能伤害类型火FIRE 冰ICE 神圣HOLY 黑暗DARKLY 无NONE,状态系列,状态效果,持续时间(毫秒),替换规则,状态最大叠加数,是否发送到客户端,基础概率,成长参数,flag
Name_s,title_c,Id_kn,Type_s,DamageElement_s,Series_t,Effects_t,Life,Stack_s,StackMax,Show,Rate,BuffGrow_t,falg_c
A1,下回合伤害提升30%,10001,Buff,NONE,,"{'ChaLAPercent', 'attinc', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
A2,下回合伤害提升10%,10002,Buff,NONE,,"{'ChaLAPercent', 'attinc', 10, 0,Time='Apply'}",0,Replace,1,1,,,0
A3,下回合伤害提升30%,10003,Buff,NONE,,"{'ChaLAPercent', 'attinc', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
A4,下回合伤害提升10%,10004,Buff,NONE,,"{'ChaLAPercent', 'attinc', 10, 0,Time='Apply'}",0,Replace,1,1,,,0
A5,下回合伤害提升30%,10005,Buff,NONE,,"{'ChaLAPercent', 'attinc', 30, 0,Time='Apply'}",0,Replace,1,1,,,0
A6,下回合伤害提升10%,10006,Buff,NONE,,"{'ChaLAPercent', 'attinc', 10, 0,Time='Apply'}",0,Replace,1,1,,,0
A7,攻击触发命中提升,10007,Null,NONE,,"{'ProcBuff', {{'A8', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A8,命中持续2回合,10008,Buff,NONE,,"{'ChaLAPercent', 'hitrate',  30}",2,Replace,1,1,,,0
A9,攻击触发命中提升,10009,Null,NONE,,"{'ProcBuff', {{'A10', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A10,命中持续2回合,10010,Buff,NONE,,"{'ChaLAPercent', 'hitrate',  30}",2,Replace,1,1,,,0
A11,攻击触发命中提升,10011,Null,NONE,,"{'ProcBuff', {{'A12', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A12,命中持续2回合,10012,Buff,NONE,,"{'ChaLAPercent', 'hitrate',  30}",2,Replace,1,1,,,0
A13,攻击触发命中提升,10013,Null,NONE,,"{'ProcBuff', {{'A14', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A14,命中持续2回合PVP,10014,Buff,NONE,,"{'ChaLAPercent', 'hitrate',  30, PVP=1}",2,Replace,1,1,,,0
A15,攻击时有概率提升30%PVE防御持续2回合,10015,Null,NONE,,"{'ProcBuff', {{'A16', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A16,防御,10016,Buff,NONE,,"{'ChaLAPercent', 'hujia',  30, PVE=1}",2,Replace,1,1,,,0
A17,攻击时有概率提升30%PVE伤害持续2回合,10017,Null,NONE,,"{'ProcBuff', {{'A18', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A18,伤害,10018,Buff,NONE,,"{'ChaLAPercent', 'attinc',  30, PVE=1}",2,Replace,1,1,,,0
A19,攻击时有概率提升50%PVP伤害持续2回合,10019,Null,NONE,,"{'ProcBuff', {{'A20', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A20,伤害,10020,Buff,NONE,,"{'ChaLAPercent', 'attinc',  50, PVP=1}",2,Replace,1,1,,,0
A21,攻击时有概率提升50%PVP防御持续2回合,10021,Null,NONE,,"{'ProcBuff', {{'A22', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A22,防御,10022,Buff,NONE,,"{'ChaLAPercent', 'hujia',  50, PVP=1}",2,Replace,1,1,,,0
A23,攻击时有概率提升50%攻击持续2回合,10023,Null,NONE,,"{'ProcBuff', {{'A24', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A24,攻击,10024,Buff,NONE,,"{'ChaLAPercent', 'demage',  30}",2,Replace,1,1,,,0
A25,攻击时有概率提升30%闪避持续2回合,10025,Null,NONE,,"{'ProcBuff', {{'A26', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A26,闪避,10026,Buff,NONE,,"{'ChaLAPercent', 'dodge',  30}",2,Replace,1,1,,,0
A27,攻击时有概率提升30%PVP伤减持续2回合,10027,Null,NONE,,"{'ProcBuff', {{'A28', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A28,伤害减免,10028,Buff,NONE,,"{'AbsorbDamage', 30,Time='Apply', PVP=1},",2,Replace,1,1,,,0
A29,攻击时有概率提升30%pve伤减持续2回合,10029,Null,NONE,,"{'ProcBuff', {{'A30', 10}, {'Nothing', 90}}, Time='AllCast'}",0,Replace,1,1,,,0
A30,伤害增加,10030,Buff,NONE,,"{'ChaLAPercent', 'attinc',  30, PVE=1}",2,Replace,1,1,,,0
B1,攻击触发伤害降低,20001,Null,NONE,,"{'ProcBuff', {{'B2', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B2,伤害降低,20002,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  15}",0,Replace,1,1,,,0
B3,攻击触发伤害降低,20003,Null,NONE,,"{'ProcBuff', {{'B4', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B4,伤害降低,20004,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  18}",0,Replace,1,1,,,0
B5,攻击触发伤害降低,20005,Null,NONE,,"{'ProcBuff', {{'B6', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B6,伤害降低,20006,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  21}",0,Replace,1,1,,,0
B7,攻击触发伤害降低,20007,Null,NONE,,"{'ProcBuff', {{'B8', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B8,伤害降低,20008,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  24}",0,Replace,1,1,,,0
B9,攻击触发伤害降低,20009,Null,NONE,,"{'ProcBuff', {{'B10', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B10,伤害降低,20010,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  27}",0,Replace,1,1,,,0
B11,攻击触发伤害降低,20011,Null,NONE,,"{'ProcBuff', {{'B12', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B12,伤害降低,20012,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  30}",0,Replace,1,1,,,0
B13,攻击触发伤害降低,20013,Null,NONE,,"{'ProcBuff', {{'B14', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B14,伤害降低,20014,DeBuff,NONE,,"{'ChaLAPercent', 'attdec',  33}",0,Replace,1,1,,,0
B15,攻击触发防御降低,20015,Null,NONE,,"{'ProcBuff', {{'B16', 10}, {'Nothing', 90}}, Time='AllCast', Tag='Target'}",0,Replace,1,1,,,0
B16,防御降低,20016,DeBuff,NONE,,"{'ChaLAPercent', 'hujia',  -30}",0,Replace,1,1,,,0
