,名称缩写,技能系,说明,技能类型,技能伤害类型火FIRE 冰ICE 神圣HOLY 黑暗DARKLY 无NONE,吟唱 持续施法效果,目标类型,技能施法效果,表演时间500的倍数,恢复能量,恢复奥义,打断恢复,打断恢复奥义,持续施法恢复,持续施法恢复奥义,释放消耗能量,释放消耗奥义,普攻效果的触发,取消技能标示,技能cd时间,是否不可限制（1不可限制，0限制）,技能固定伤害,技能百分比伤害,单体技能（0是1否）,技能对象类型,flag
Id_kn,Name_s,SkillSeries_n,readme_c,CastType_s,DamageElement_s,Prepare_t,TargetMethod_t,Effects_t,ShowTime,CastRP,CastMP,BreakRP,BreakMP,IntervalRP,IntervalMP,NeedRP,NeedMP,addNormalAttack,Cancel,CDTime,CanAction_n,skillFixDamage,skillFixPerDamage,single,objectType,flag_c
801,normalAttack,,普通攻击,AT,NONE,,{'NORMAL'},"{'Damage',Rate=1}",0,0,0,0,,0,,0,,,,,,0,,0,,0
1,normalAttack,,普通攻击,AT,NONE,,{'NORMAL'},"{'Damage',Rate=1}",0,0,0,0,,0,,0,,,,,,0,,0,,0
31001,烈焰突刺,,对随机单体造成30%的伤害，附加162点攻击。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.3},",0,0,0,0,,0,,0,,,,,,162,,0,,0
31002,分身斩,,对随机3个敌人造成26%的伤害，附加78点攻击。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.26},",0,0,0,0,,0,,0,,,,,,78,,1,,0
31003,圆月斩,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.34},{'BuffAdd', 'A1',TargetMethod={'SELF'},Delay=1}",0,0,0,0,,0,,0,,,,,,219,,0,,0
31004,神龙火柱,,对敌方全体造成10%的伤害，附加54点攻击，并使全队下回合伤害提升10%。,AT,NONE,,{'ENEMYS'},"{'Damage',Rate=0.1},{'BuffAdd', 'A2',TargetMethod={'ALLYS'},Delay=1}",0,0,0,0,,0,,0,,,,,,54,,1,,0
31005,半月斩,,对随机单体造成64%的伤害，附加468点攻击,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.64},",0,0,0,0,,0,,0,,,,,,468,,0,,0
32001,飞龙在天,,对随机单体造成30%的伤害，附加162点攻击。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.3},",0,0,0,0,,0,,0,,,,,,162,,0,,0
32002,寒冰突刺,,对随机3个敌人造成26%的伤害，附加78点攻击。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.26},",0,0,0,0,,0,,0,,,,,,78,,1,,0
32003,龙卷残云,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.34},{'BuffAdd', 'A3',TargetMethod={'SELF'},Delay=1}",0,0,0,0,,0,,0,,,,,,219,,0,,0
32004,双龙绞杀,,对敌方全体造成10%的伤害，附加54点攻击，并使全队下回合伤害提升10%。,AT,NONE,,{'ENEMYS'},"{'Damage',Rate=0.1},{'BuffAdd', 'A4',TargetMethod={'ALLYS'},Delay=1}",0,0,0,0,,0,,0,,,,,,54,,1,,0
32005,飞龙息,,对随机单体造成64%的伤害，附加468点攻击,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.64},",0,0,0,0,,0,,0,,,,,,468,,0,,0
33001,瞬影突袭,,对随机单体造成30%的伤害，附加162点攻击。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.3},",0,0,0,0,,0,,0,,,,,,162,,0,,0
33002,恶灵毒气,,对随机3个敌人造成26%的伤害，附加78点攻击。,AT,NONE,,"{'RANDOM', 3}","{'Damage',Rate=0.26},",0,0,0,0,,0,,0,,,,,,78,,1,,0
33003,星河逆转,,对随机单体造成34%的伤害，附加219点攻击，并使下次伤害提升30%。,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.34},{'BuffAdd', 'A5',TargetMethod={'SELF'},Delay=1}",0,0,0,0,,0,,0,,,,,,219,,0,,0
33004,罡气笼罩,,对敌方全体造成10%的伤害，附加54点攻击，并使全队下回合伤害提升10%。,AT,NONE,,{'ENEMYS'},"{'Damage',Rate=0.1},{'BuffAdd', 'A6',TargetMethod={'ALLYS'},Delay=1}",0,0,0,0,,0,,0,,,,,,54,,1,,0
33005,幽灵一刀,,对随机单体造成64%的伤害，附加468点攻击,AT,NONE,,{'NORMAL'},"{'Damage',Rate=0.64},",0,0,0,0,,0,,0,,,,,,468,,0,,0
40001,万千猴兵,,对随机2个目标造成16%+460的伤害。,AT,NONE,,"{'RANDOM', 2}","{'Damage',Rate=0.16}",0,0,0,0,,0,,0,,,,,,460,0.16,1,3,0
