entryId,等级（１级定义的是解锁条件）,对应战斗技能
Id_kn,Level_kn,destSkill
20033,1,20033
20033,2,20037
20033,3,20038
20033,4,20039
20033,5,20040
20033,6,20041
20033,7,20042
20033,8,20043
20033,9,20044
20033,10,20045
20033,11,20046
20033,12,20047
20033,13,20048
20033,14,20049
20033,15,20050
20034,1,20034
20034,2,20051
20034,3,20052
20034,4,20053
20034,5,20054
20034,6,20055
20034,7,20056
20034,8,20057
20034,9,20058
20034,10,20059
20034,11,20060
20034,12,20061
20034,13,20062
20034,14,20063
20034,15,20064
20035,1,20035
20035,2,20065
20035,3,20066
20035,4,20067
20035,5,20068
20035,6,20069
20035,7,20070
20035,8,20071
20035,9,20072
20035,10,20073
20035,11,20074
20035,12,20075
20035,13,20076
20035,14,20077
20035,15,20078
20036,1,20036
20036,2,20079
20036,3,20080
20036,4,20081
20036,5,20082
20036,6,20083
20036,7,20084
20036,8,20085
20036,9,20086
20036,10,20087
20036,11,20088
20036,12,20089
20036,13,20090
20036,14,20091
20036,15,20092
