Index,省份ID,省份,城ID,城,IP段
Index_kn,Province,ProName_c,City,CityName_c,IP
1,1,北京,1,北京,1
2,2,上海,2,上海,34
3,3,天津,3,天津,2
4,4,重庆,4,重庆,3
5,5,黑龙江,501,哈尔滨,8
6,5,黑龙江,502,齐齐哈尔,0
7,5,黑龙江,503,鸡西,0
8,5,黑龙江,504,鹤岗,0
9,5,黑龙江,505,双鸭山,0
10,5,黑龙江,506,大庆,0
11,5,黑龙江,507,伊春,0
12,5,黑龙江,508,佳木斯,0
13,5,黑龙江,509,七台河,0
14,5,黑龙江,510,牡丹江,0
15,5,黑龙江,511,黑河,0
16,5,黑龙江,512,绥化,0
17,5,黑龙江,513,大兴安岭,0
18,6,吉林,601,长春,7
19,6,吉林,602,吉林,0
20,6,吉林,603,四平,0
21,6,吉林,604,辽源,0
22,6,吉林,605,通化,0
23,6,吉林,606,白山,0
24,6,吉林,607,松原,0
25,6,吉林,608,白城,0
26,6,吉林,609,延边,0
27,7,辽宁,701,沈阳,6
28,7,辽宁,702,大连,0
29,7,辽宁,703,鞍山,0
30,7,辽宁,704,抚顺,0
31,7,辽宁,705,本溪,0
32,7,辽宁,706,丹东,0
33,7,辽宁,707,锦州,0
34,7,辽宁,708,营口,0
35,7,辽宁,709,阜新,0
36,7,辽宁,710,辽阳,0
37,7,辽宁,711,盘锦,0
38,7,辽宁,712,铁岭,0
39,7,辽宁,713,朝阳,0
40,7,辽宁,714,葫芦岛,0
41,8,山东,801,济南,14
42,8,山东,802,青岛,0
43,8,山东,803,淄博,0
44,8,山东,804,枣庄,0
45,8,山东,805,东营,0
46,8,山东,806,烟台,0
47,8,山东,807,潍坊,0
48,8,山东,808,济宁,0
49,8,山东,809,泰安,0
50,8,山东,810,威海,0
51,8,山东,811,日照,0
52,8,山东,812,莱芜,0
53,8,山东,813,临沂,0
54,8,山东,814,德州,0
55,8,山东,815,聊城,0
56,8,山东,816,滨州,0
57,8,山东,817,菏泽,0
58,9,山西,901,太原,5
59,9,山西,902,大同,0
60,9,山西,903,阳泉,0
61,9,山西,904,长治,0
62,9,山西,905,晋城,0
63,9,山西,906,朔州,0
64,9,山西,907,晋中,0
65,9,山西,908,运城,0
66,9,山西,909,忻州,0
67,9,山西,910,临汾,0
68,9,山西,911,吕梁,0
69,10,陕西,1001,西安,23
70,10,陕西,1002,铜川,0
71,10,陕西,1003,宝鸡,0
72,10,陕西,1004,咸阳,0
73,10,陕西,1005,渭南,0
74,10,陕西,1006,延安,0
75,10,陕西,1007,汉中,0
76,10,陕西,1008,榆林,0
77,10,陕西,1009,安康,0
78,10,陕西,1010,商洛,0
79,11,河北,1101,石家庄,4
80,11,河北,1102,唐山,0
81,11,河北,1103,秦皇岛,0
82,11,河北,1104,邯郸,0
