等级,生命,面板伤害,护甲,防御穿透,减免无视,命中值,闪避值,暴击值,抗暴值,暴击伤害,暴击伤害减免,出手速度,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力
index_kn,hp_n,attack_n,defence_n,chuanjia_n,chuanjiadec,hitrate,dodge,critrate,critratedec,critdamage_n,critdadec,speed_n,attinc,attdec,pvpattinc,pvpattdec,pveattinc,pveattdec,force
1,3456,768,2.922,2.922,,7.306,7.306,4.87,4.87,2,0,1,,,,,,,4800
2,4925,1094,2.975,2.975,,7.437,7.437,4.958,4.958,2,0,1,,,,,,,6840
3,6394,1421,3.028,3.028,,7.57,7.57,5.047,5.047,2,0,1,,,,,,,8880
4,7862,1747,3.083,3.083,,7.707,7.707,5.138,5.138,2,0,1,,,,,,,10920
5,9331,2074,3.138,3.138,,7.846,7.846,5.231,5.231,2,0,1,,,,,,,12960
6,10800,2400,3.195,3.195,,7.988,7.988,5.325,5.325,2,0,1,,,,,,,15000
7,12269,2726,3.253,3.253,,8.133,8.133,5.422,5.422,2,0,1,,,,,,,17040
8,13738,3053,3.312,3.312,,8.28,8.28,5.52,5.52,2,0,1,,,,,,,19080
9,15206,3379,3.372,3.372,,8.431,8.431,5.621,5.621,2,0,1,,,,,,,21120
10,16675,3706,3.434,3.434,,8.585,8.585,5.723,5.723,2,0,1,,,,,,,23160
11,18144,4032,3.497,3.497,,8.741,8.741,5.828,5.828,2,0,1,,,,,,,25200
12,19613,4358,3.56,3.56,,8.901,8.901,5.934,5.934,2,0,1,,,,,,,27240
13,21082,4685,3.626,3.626,,9.064,9.064,6.043,6.043,2,0,1,,,,,,,29280
14,22550,5011,3.692,3.692,,9.23,9.23,6.154,6.154,2,0,1,,,,,,,31320
15,24019,5338,3.76,3.76,,9.4,9.4,6.267,6.267,2,0,1,,,,,,,33360
16,25488,5664,3.829,3.829,,9.573,9.573,6.382,6.382,2,0,1,,,,,,,35400
17,26957,5990,3.9,3.9,,9.75,9.75,6.5,6.5,2,0,1,,,,,,,37440
18,28426,6317,3.972,3.972,,9.929,9.929,6.62,6.62,2,0,1,,,,,,,39480
19,29894,6643,4.045,4.045,,10.113,10.113,6.742,6.742,2,0,1,,,,,,,41520
20,31363,6970,4.12,4.12,,10.3,10.3,6.867,6.867,2,0,1,,,,,,,43560
21,32832,7296,4.197,4.197,,10.491,10.491,6.994,6.994,2,0,1,,,,,,,45600
22,34301,7622,4.274,4.274,,10.686,10.686,7.124,7.124,2,0,1,,,,,,,47640
23,35770,7949,4.354,4.354,,10.885,10.885,7.257,7.257,2,0,1,,,,,,,49680
24,37238,8275,4.435,4.435,,11.088,11.088,7.392,7.392,2,0,1,,,,,,,51720
25,38707,8602,4.518,4.518,,11.294,11.294,7.53,7.53,2,0,1,,,,,,,53760
26,40176,8928,4.602,4.602,,11.505,11.505,7.67,7.67,2,0,1,,,,,,,55800
27,41645,9254,4.688,4.688,,11.72,11.72,7.814,7.814,2,0,1,,,,,,,57840
28,43114,9581,4.776,4.776,,11.94,11.94,7.96,7.96,2,0,1,,,,,,,59880
29,44582,9907,4.865,4.865,,12.164,12.164,8.109,8.109,2,0,1,,,,,,,61920
30,46051,10234,4.957,4.957,,12.392,12.392,8.261,8.261,2,0,1,,,,,,,63960
31,47520,10560,5.05,5.05,,12.625,12.625,8.416,8.416,2,0,1,,,,,,,66000
32,48989,10886,5.145,5.145,,12.862,12.862,8.575,8.575,2,0,1,,,,,,,68040
33,50458,11213,5.242,5.242,,13.104,13.104,8.736,8.736,2,0,1,,,,,,,70080
34,51926,11539,5.341,5.341,,13.351,13.351,8.901,8.901,2,0,1,,,,,,,72120
35,53395,11866,5.441,5.441,,13.604,13.604,9.069,9.069,2,0,1,,,,,,,74160
36,54864,12192,5.544,5.544,,13.861,13.861,9.24,9.24,2,0,1,,,,,,,76200
37,56333,12518,5.649,5.649,,14.123,14.123,9.415,9.415,2,0,1,,,,,,,78240
38,57802,12845,5.756,5.756,,14.39,14.39,9.593,9.593,2,0,1,,,,,,,80280
39,59270,13171,5.865,5.865,,14.663,14.663,9.775,9.775,2,0,1,,,,,,,82320
40,60739,13498,5.977,5.977,,14.941,14.941,9.961,9.961,2,0,1,,,,,,,84360
41,62208,13824,6.09,6.09,,15.225,15.225,10.15,10.15,2,0,1,,,,,,,86400
42,63677,14150,6.203,6.203,,15.509,15.509,10.339,10.339,2,0,1,,,,,,,88440
43,65146,14477,6.316,6.316,,15.793,15.793,10.528,10.528,2,0,1,,,,,,,90480
44,66614,14803,6.429,6.429,,16.077,16.077,10.717,10.717,2,0,1,,,,,,,92520
45,68083,15130,6.542,6.542,,16.361,16.361,10.906,10.906,2,0,1,,,,,,,94560
46,69552,15456,6.655,6.655,,16.645,16.645,11.095,11.095,2,0,1,,,,,,,96600
47,71021,15782,6.768,6.768,,16.929,16.929,11.284,11.284,2,0,1,,,,,,,98640
48,72490,16109,6.881,6.881,,17.213,17.213,11.473,11.473,2,0,1,,,,,,,100680
49,73958,16435,6.994,6.994,,17.497,17.497,11.662,11.662,2,0,1,,,,,,,102720
50,75427,16762,7.107,7.107,,17.781,17.781,11.851,11.851,2,0,1,,,,,,,104760
51,76896,17088,7.22,7.22,,18.065,18.065,12.04,12.04,2,0,1,,,,,,,106800
52,78365,17414,7.333,7.333,,18.349,18.349,12.229,12.229,2,0,1,,,,,,,108840
53,79834,17741,7.446,7.446,,18.633,18.633,12.418,12.418,2,0,1,,,,,,,110880
54,81302,18067,7.559,7.559,,18.917,18.917,12.607,12.607,2,0,1,,,,,,,112920
55,82771,18394,7.672,7.672,,19.201,19.201,12.796,12.796,2,0,1,,,,,,,114960
56,84240,18720,7.785,7.785,,19.485,19.485,12.985,12.985,2,0,1,,,,,,,117000
57,85709,19046,7.898,7.898,,19.769,19.769,13.174,13.174,2,0,1,,,,,,,119040
58,87178,19373,8.011,8.011,,20.053,20.053,13.363,13.363,2,0,1,,,,,,,121080
59,88646,19699,8.124,8.124,,20.337,20.337,13.552,13.552,2,0,1,,,,,,,123120
60,100128,40051,10013,8.237,,20.621,20.621,13.741,13.741,2,0,1,,,,,,,250320
61,101760,40704,10176,8.35,,20.905,20.905,13.93,13.93,2,0,1,,,,,,,254400
62,103392,41357,10339,8.463,,21.189,21.189,14.119,14.119,2,0,1,,,,,,,258480
63,105024,42010,10502,8.576,,21.473,21.473,14.308,14.308,2,0,1,,,,,,,262560
64,106656,42662,10666,8.689,,21.757,21.757,14.497,14.497,2,0,1,,,,,,,266640
65,108288,43315,10829,8.802,,22.041,22.041,14.686,14.686,2,0,1,,,,,,,270720
66,109920,43968,10992,8.915,,22.325,22.325,14.875,14.875,2,0,1,,,,,,,274800
67,111552,44621,11155,9.028,,22.609,22.609,15.064,15.064,2,0,1,,,,,,,278880
68,113184,45274,11318,9.141,,22.893,22.893,15.253,15.253,2,0,1,,,,,,,282960
69,114816,45926,11482,9.254,,23.177,23.177,15.442,15.442,2,0,1,,,,,,,287040
70,116448,46579,11645,9.367,,23.461,23.461,15.631,15.631,2,0,1,,,,,,,291120
