物品Id,索引二,物品使用说明,需要数量,产物,产物权重
entryId_kn,index_kn,read_c,count,product_t,weight
40198,1,,1,"{""item"",70008,2},{""item"",70015,5},{""item"",40127,2},",1100
40198,2,,1,"{""item"",70008,3},{""item"",70016,3},{""item"",70006,2},",1100
40198,3,,1,"{""item"",70008,5},{""item"",40038,10},{""item"",70007,1},",1100
40198,4,,1,"{""item"",40125,2},{""item"",70006,2},{""item"",70015,2},",1100
40198,5,,1,"{""item"",40125,3},{""item"",70007,1},{""item"",40072,1},",1100
40198,6,,1,"{""item"",40125,5},{""item"",70008,5},{""item"",40127,2},",1100
40198,7,,1,"{""item"",70016,2},{""item"",40073,1},{""item"",70006,2},",1100
40198,8,,1,"{""item"",70016,3},{""item"",70014,1},{""item"",70007,1},",1100
40198,9,,1,"{""item"",70016,5},{""item"",70008,3},{""item"",40038,5},",1100
40198,10,,1,"{""item"",40039,1},{""item"",70008,6},{""item"",40127,2},",66
40198,11,,1,"{""item"",40188,1},{""item"",40125,8},{""item"",40073,1},",33
