索引,物品Entry,物品名称,NpcEntry,Npc名称,货币单位（1金币 2晶石 3体力 4竞技积分 5时空碎片 6武斗积分）,购买单价,排序,限购次数,每周限购次数,终身限购
Id_kn,itemEntry_n,itemName_c,npcEntry_n,npcName_c,unit,price,rank,limit,weekLimit,lifeLimit
1,40020,神奇宝箱,1,试炼场,17,3,1,0,0,0
2,40021,神奇水果,1,试炼场,17,3,2,0,0,0
3,20058,初级强化石,1,试炼场,17,9,3,0,0,0
4,40003,中级强化石,1,试炼场,17,42,4,0,0,0
5,40004,高级强化石,1,试炼场,17,90,5,0,0,0
6,40013,能力印记,1,试炼场,17,150,6,0,0,0
7,50024,神魂结晶,1,试炼场,17,150,7,0,0,0
8,40195,疾行术解锁书,1,试炼场,17,450,8,0,0,0
9,40435,奥义解锁凭证,1,试炼场,17,450,9,0,0,0
10,40191,噬血解锁书,1,试炼场,17,750,10,0,0,0
11,40184,圣光再起解锁书,1,试炼场,17,1200,11,0,0,0
12,40012,抽奖券,2,竞技场,4,5000,12,0,0,0
13,70008,守护源力,2,竞技场,4,5000,13,0,0,0
14,40014,星辰图纸,2,竞技场,4,10000,14,0,0,0
15,40001,金刚钻,2,竞技场,4,20000,15,0,0,0
16,20060,赤铁矿,2,竞技场,4,1500,16,0,0,0
17,20061,粗棉,2,竞技场,4,1500,17,0,0,0
18,20069,大地结晶,2,竞技场,4,1500,18,0,0,0
19,20074,亚麻,2,竞技场,4,1500,19,0,0,0
20,20079,水晶石,2,竞技场,4,1500,20,0,0,0
21,20084,钛合金,2,竞技场,4,1500,21,0,0,0
22,20062,玄铁矿,2,竞技场,4,6750,22,0,0,0
23,20063,硬角丝,2,竞技场,4,6750,23,0,0,0
24,20070,元素宝石,2,竞技场,4,6750,24,0,0,0
25,20075,皮革,2,竞技场,4,6750,25,0,0,0
26,20080,红宝石,2,竞技场,4,6750,26,0,0,0
27,20085,犀牛角,2,竞技场,4,6750,27,0,0,0
28,20064,赤金矿,2,竞技场,4,27000,28,0,0,0
29,20065,冰蚕丝,2,竞技场,4,27000,29,0,0,0
30,20071,恶魔之血,2,竞技场,4,27000,30,0,0,0
31,20076,熊皮,2,竞技场,4,27000,31,0,0,0
32,20081,灵石,2,竞技场,4,27000,32,0,0,0
33,20086,白虎牙,2,竞技场,4,27000,33,0,0,0
34,20066,魂精矿,2,竞技场,4,108000,34,0,0,0
35,20067,金缕丝,2,竞技场,4,108000,35,0,0,0
36,20072,天使之泪,2,竞技场,4,108000,36,0,0,0
37,20077,龙皮,2,竞技场,4,108000,37,0,0,0
38,20082,圣光石,2,竞技场,4,108000,38,0,0,0
39,20087,龙鳞,2,竞技场,4,108000,39,0,0,0
40,60041,守护石1级,2,竞技场,4,600000,40,0,0,0
41,60121,聚能石1级,2,竞技场,4,600000,41,0,0,0
99,40012,抽奖券,13,天梯,13,375,42,0,0,0
42,40023,小钻石,13,天梯,13,75,43,0,0,0
43,40003,中级强化石,13,天梯,13,210,44,0,0,0
44,20059,锻造石,13,天梯,13,225,45,0,0,0
45,40004,高级强化石,13,天梯,13,450,46,0,0,0
46,40014,星辰图纸,13,天梯,13,750,47,0,0,0
47,50024,神魂结晶,13,天梯,13,750,48,0,0,0
48,40016,守护锁,13,天梯,13,1125,49,0,0,0
49,60021,眩晕石1级,13,天梯,13,43500,50,0,0,0
50,60031,复活石1级,13,天梯,13,88500,51,0,0,0
51,70008,守护源力,3,众神之战,8,625,52,0,0,0
52,40012,抽奖券,3,众神之战,8,625,53,0,0,0
53,30006,火龙果,3,众神之战,8,775,54,0,0,0
54,40013,能力印记,3,众神之战,8,1250,55,0,0,0
55,20055,幸运石,3,众神之战,8,1600,56,0,0,0
