索引,掉落颜色1为灰色 2是绿色,数量
index_kn,random_t,num_n
1,"[1] = 40,[2] = 9",49
2,"[1] = 34,[2] = 13",47
3,"[1] = 40,[2] = 10",50
4,"[1] = 45,[2] = 10",55
5,"[1] = 39,[2] = 10",49
6,"[1] = 42,[2] = 6",48
7,"[1] = 35,[2] = 15",50
8,"[1] = 43,[2] = 9",52
9,"[1] = 42,[2] = 13",55
10,"[1] = 40,[2] = 10",50
11,"[1] = 42,[2] = 7",49
12,"[1] = 38,[2] = 8",46
13,"[1] = 34,[2] = 12",46
14,"[1] = 42,[2] = 6",48
15,"[1] = 38,[2] = 13",51
16,"[1] = 38,[2] = 10",48
17,"[1] = 35,[2] = 6",41
18,"[1] = 45,[2] = 9",54
19,"[1] = 40,[2] = 8",48
20,"[1] = 36,[2] = 5",41
21,"[1] = 30,[2] = 11",41
22,"[1] = 34,[2] = 7",41
23,"[1] = 34,[2] = 13",47
24,"[1] = 47,[2] = 7",54
25,"[1] = 41,[2] = 10",51
26,"[1] = 49,[2] = 9",58
27,"[1] = 32,[2] = 13",45
28,"[1] = 40,[2] = 14",54
29,"[1] = 40,[2] = 10",50
30,"[1] = 49,[2] = 10",59
31,"[1] = 41,[2] = 14",55
32,"[1] = 43,[2] = 8",51
33,"[1] = 42,[2] = 9",51
34,"[1] = 44,[2] = 7",51
35,"[1] = 36,[2] = 8",44
36,"[1] = 39,[2] = 10",49
37,"[1] = 41,[2] = 14",55
38,"[1] = 38,[2] = 6",44
39,"[1] = 33,[2] = 16",49
40,"[1] = 47,[2] = 7",54
41,"[1] = 41,[2] = 8",49
42,"[1] = 46,[2] = 9",55
43,"[1] = 34,[2] = 9",43
44,"[1] = 37,[2] = 11",48
45,"[1] = 36,[2] = 10",46
46,"[1] = 40,[2] = 11",51
47,"[1] = 41,[2] = 10",51
48,"[1] = 42,[2] = 8",50
49,"[1] = 40,[2] = 13",53
50,"[1] = 41,[2] = 10",51
