索引,掉落颜色1为灰色 2是绿色,数量
index_kn,random_t,num_n
1,"[1] = 403,[2] = 102",505
2,"[1] = 396,[2] = 97",493
3,"[1] = 404,[2] = 116",520
4,"[1] = 417,[2] = 101",518
5,"[1] = 380,[2] = 100",480
6,"[1] = 413,[2] = 92",505
7,"[1] = 421,[2] = 115",536
8,"[1] = 370,[2] = 105",475
9,"[1] = 396,[2] = 100",496
10,"[1] = 402,[2] = 109",511
11,"[1] = 397,[2] = 94",491
12,"[1] = 412,[2] = 96",508
13,"[1] = 385,[2] = 111",496
14,"[1] = 381,[2] = 107",488
15,"[1] = 394,[2] = 94",488
16,"[1] = 411,[2] = 81",492
17,"[1] = 393,[2] = 118",511
18,"[1] = 422,[2] = 100",522
19,"[1] = 409,[2] = 76",485
20,"[1] = 392,[2] = 118",510
21,"[1] = 407,[2] = 100",507
22,"[1] = 376,[2] = 121",497
23,"[1] = 411,[2] = 108",519
24,"[1] = 370,[2] = 120",490
25,"[1] = 405,[2] = 102",507
26,"[1] = 401,[2] = 104",505
27,"[1] = 388,[2] = 109",497
28,"[1] = 404,[2] = 96",500
29,"[1] = 397,[2] = 98",495
30,"[1] = 386,[2] = 111",497
31,"[1] = 396,[2] = 103",499
32,"[1] = 380,[2] = 108",488
33,"[1] = 407,[2] = 101",508
34,"[1] = 391,[2] = 106",497
35,"[1] = 410,[2] = 104",514
36,"[1] = 397,[2] = 119",516
37,"[1] = 412,[2] = 87",499
38,"[1] = 409,[2] = 93",502
39,"[1] = 399,[2] = 97",496
40,"[1] = 402,[2] = 92",494
41,"[1] = 401,[2] = 101",502
42,"[1] = 384,[2] = 107",491
43,"[1] = 410,[2] = 99",509
44,"[1] = 413,[2] = 96",509
45,"[1] = 380,[2] = 113",493
46,"[1] = 402,[2] = 112",514
47,"[1] = 420,[2] = 111",531
48,"[1] = 402,[2] = 99",501
49,"[1] = 416,[2] = 97",513
50,"[1] = 398,[2] = 105",503
