索引,掉落颜色1为灰色 2是绿色,数量
index_kn,random_t,num_n
1,"[1] = 3,[2] = 1",4
2,"[1] = 4",4
3,"[1] = 4,[2] = 2",6
4,"[1] = 6,[2] = 1",7
5,"[1] = 5",5
6,"[1] = 6,[2] = 1",7
7,"[1] = 3,[2] = 1",4
8,"[1] = 6,[2] = 2",8
9,"[1] = 4,[2] = 1",5
10,"[1] = 4",4
11,"[1] = 5,[2] = 1",6
12,"[1] = 4",4
13,"[1] = 2,[2] = 1",3
14,"[1] = 3,[2] = 1",4
15,"[1] = 4",4
16,"[1] = 5,[2] = 1",6
17,"[1] = 6,[2] = 1",7
18,"[1] = 4",4
19,"[1] = 4,[2] = 4",8
20,"[1] = 6,[2] = 2",8
21,"[1] = 3,[2] = 1",4
22,"[1] = 5",5
23,"[1] = 2,[2] = 2",4
24,"[1] = 4,[2] = 1",5
25,"[1] = 3,[2] = 2",5
26,"[1] = 4,[2] = 2",6
27,"[1] = 3,[2] = 2",5
28,"[1] = 2,[2] = 3",5
29,"[1] = 4,[2] = 1",5
30,"[1] = 4,[2] = 1",5
31,"[1] = 2,[2] = 2",4
32,"[1] = 2,[2] = 1",3
33,"[1] = 2,[2] = 2",4
34,"[1] = 7,[2] = 1",8
35,"[1] = 4,[2] = 3",7
36,"[1] = 5",5
37,"[1] = 2,[2] = 3",5
38,"[1] = 2,[2] = 1",3
39,"[1] = 5,[2] = 1",6
40,"[1] = 6",6
41,"[1] = 5,[2] = 1",6
42,"[1] = 4,[2] = 2",6
43,"[1] = 4,[2] = 1",5
44,"[1] = 5",5
45,"[1] = 7",7
46,"[1] = 2,[2] = 2",4
47,"[1] = 7",7
48,"[1] = 3",3
49,"[1] = 3,[2] = 1",4
50,"[1] = 3,[2] = 1",4
