索引,随机,数量
index_kn,random_t,num_n
1,"[1] = 8,[2] = 7,[3] = 7,[4] = 8,[5] = 7,[6] = 11,[7] = 11,[8] = 18,[9] = 16,[10] = 7",100
2,"[1] = 11,[2] = 18,[3] = 10,[4] = 8,[5] = 10,[6] = 6,[7] = 9,[8] = 15,[9] = 7,[10] = 6",100
3,"[1] = 9,[2] = 18,[3] = 12,[4] = 8,[5] = 7,[6] = 6,[7] = 9,[8] = 12,[9] = 11,[10] = 8",100
4,"[1] = 10,[2] = 10,[3] = 8,[4] = 16,[5] = 10,[6] = 11,[7] = 11,[8] = 7,[9] = 9,[10] = 8",100
5,"[1] = 12,[2] = 11,[3] = 10,[4] = 5,[5] = 10,[6] = 10,[7] = 6,[8] = 15,[9] = 13,[10] = 8",100
6,"[1] = 7,[2] = 13,[3] = 11,[4] = 8,[5] = 12,[6] = 11,[7] = 16,[8] = 12,[9] = 4,[10] = 6",100
7,"[1] = 5,[2] = 10,[3] = 15,[4] = 9,[5] = 11,[6] = 6,[7] = 7,[8] = 10,[9] = 14,[10] = 13",100
8,"[1] = 13,[2] = 9,[3] = 11,[4] = 9,[5] = 9,[6] = 11,[7] = 7,[8] = 11,[9] = 10,[10] = 10",100
9,"[1] = 11,[2] = 7,[3] = 6,[4] = 11,[5] = 11,[6] = 10,[7] = 13,[8] = 7,[9] = 13,[10] = 11",100
10,"[1] = 15,[2] = 8,[3] = 9,[4] = 11,[5] = 9,[6] = 12,[7] = 7,[8] = 9,[9] = 11,[10] = 9",100
11,"[1] = 13,[2] = 9,[3] = 9,[4] = 10,[5] = 11,[6] = 11,[7] = 5,[8] = 16,[9] = 8,[10] = 8",100
12,"[1] = 8,[2] = 7,[3] = 9,[4] = 13,[5] = 8,[6] = 16,[7] = 11,[8] = 11,[9] = 6,[10] = 11",100
13,"[1] = 12,[2] = 11,[3] = 9,[4] = 11,[5] = 8,[6] = 9,[7] = 6,[8] = 8,[9] = 15,[10] = 11",100
14,"[1] = 15,[2] = 12,[3] = 13,[4] = 13,[5] = 10,[6] = 6,[7] = 6,[8] = 6,[10] = 12,[9] = 7",100
15,"[1] = 10,[2] = 14,[3] = 8,[4] = 11,[5] = 8,[6] = 11,[7] = 6,[8] = 12,[10] = 10,[9] = 10",100
16,"[1] = 8,[2] = 6,[3] = 14,[4] = 7,[5] = 7,[6] = 11,[7] = 8,[8] = 12,[9] = 13,[10] = 14",100
17,"[1] = 15,[2] = 11,[3] = 4,[4] = 10,[5] = 9,[6] = 15,[7] = 15,[8] = 6,[9] = 10,[10] = 5",100
18,"[1] = 6,[2] = 9,[3] = 12,[4] = 11,[5] = 9,[6] = 11,[7] = 13,[8] = 9,[9] = 11,[10] = 9",100
19,"[1] = 12,[2] = 14,[3] = 7,[4] = 10,[5] = 10,[6] = 8,[7] = 9,[8] = 15,[9] = 6,[10] = 9",100
20,"[1] = 13,[2] = 20,[3] = 8,[4] = 10,[5] = 5,[6] = 10,[7] = 7,[8] = 11,[9] = 7,[10] = 9",100
21,"[1] = 13,[2] = 8,[3] = 10,[4] = 8,[5] = 8,[6] = 7,[7] = 13,[8] = 10,[10] = 11,[9] = 12",100
22,"[1] = 10,[2] = 16,[3] = 8,[4] = 9,[5] = 10,[6] = 7,[7] = 12,[8] = 9,[9] = 9,[10] = 10",100
23,"[1] = 6,[2] = 11,[3] = 15,[4] = 15,[5] = 7,[6] = 12,[7] = 9,[8] = 10,[9] = 10,[10] = 5",100
24,"[1] = 20,[2] = 11,[3] = 8,[4] = 11,[5] = 8,[6] = 11,[7] = 10,[8] = 6,[9] = 6,[10] = 9",100
25,"[1] = 11,[2] = 9,[3] = 11,[4] = 12,[5] = 11,[6] = 8,[7] = 9,[8] = 18,[9] = 5,[10] = 6",100
26,"[1] = 11,[2] = 10,[3] = 9,[4] = 9,[5] = 7,[6] = 7,[7] = 15,[8] = 7,[9] = 12,[10] = 13",100
27,"[1] = 7,[2] = 11,[3] = 10,[4] = 13,[5] = 5,[6] = 9,[7] = 11,[8] = 8,[9] = 13,[10] = 13",100
28,"[1] = 7,[2] = 14,[3] = 15,[4] = 8,[5] = 14,[6] = 9,[7] = 7,[8] = 10,[9] = 8,[10] = 8",100
29,"[1] = 14,[2] = 18,[3] = 7,[4] = 8,[5] = 10,[6] = 9,[7] = 10,[8] = 8,[9] = 4,[10] = 12",100
30,"[1] = 12,[2] = 10,[3] = 11,[4] = 10,[5] = 10,[6] = 9,[7] = 9,[8] = 6,[9] = 12,[10] = 11",100
31,"[1] = 9,[2] = 16,[3] = 5,[4] = 11,[5] = 8,[6] = 13,[7] = 10,[8] = 10,[9] = 10,[10] = 8",100
32,"[1] = 12,[2] = 10,[3] = 11,[4] = 7,[5] = 16,[6] = 7,[7] = 13,[8] = 5,[9] = 14,[10] = 5",100
33,"[1] = 12,[2] = 7,[3] = 10,[4] = 6,[5] = 15,[6] = 8,[7] = 8,[8] = 14,[9] = 10,[10] = 10",100
34,"[1] = 9,[2] = 9,[3] = 8,[4] = 14,[5] = 13,[6] = 11,[7] = 11,[8] = 8,[9] = 7,[10] = 10",100
35,"[1] = 12,[2] = 6,[3] = 11,[4] = 11,[5] = 8,[6] = 15,[7] = 8,[8] = 7,[9] = 9,[10] = 13",100
36,"[1] = 10,[2] = 10,[3] = 9,[4] = 13,[5] = 9,[6] = 12,[7] = 9,[8] = 9,[10] = 9,[9] = 10",100
37,"[1] = 11,[2] = 13,[3] = 8,[4] = 8,[5] = 11,[6] = 9,[7] = 13,[8] = 9,[10] = 12,[9] = 6",100
38,"[1] = 7,[2] = 8,[3] = 12,[4] = 5,[5] = 10,[6] = 12,[7] = 14,[8] = 8,[9] = 12,[10] = 12",100
39,"[1] = 8,[2] = 11,[3] = 5,[4] = 10,[5] = 14,[6] = 13,[7] = 10,[8] = 10,[9] = 9,[10] = 10",100
40,"[1] = 10,[2] = 9,[3] = 16,[4] = 7,[5] = 12,[6] = 11,[7] = 6,[8] = 9,[9] = 11,[10] = 9",100
41,"[1] = 6,[2] = 7,[3] = 12,[4] = 11,[5] = 13,[6] = 8,[7] = 10,[8] = 10,[9] = 10,[10] = 13",100
42,"[1] = 11,[2] = 11,[3] = 10,[4] = 11,[5] = 9,[6] = 6,[7] = 12,[8] = 10,[9] = 9,[10] = 11",100
43,"[1] = 9,[2] = 12,[3] = 7,[4] = 15,[5] = 6,[6] = 12,[7] = 10,[8] = 11,[9] = 8,[10] = 10",100
44,"[1] = 12,[2] = 6,[3] = 7,[4] = 13,[5] = 8,[6] = 13,[7] = 11,[8] = 10,[9] = 13,[10] = 7",100
45,"[1] = 7,[2] = 13,[3] = 7,[4] = 7,[5] = 17,[6] = 12,[7] = 8,[8] = 10,[9] = 9,[10] = 10",100
46,"[1] = 9,[2] = 11,[3] = 9,[4] = 13,[5] = 8,[6] = 7,[7] = 13,[8] = 14,[9] = 7,[10] = 9",100
47,"[1] = 10,[2] = 9,[3] = 12,[4] = 12,[5] = 13,[6] = 8,[7] = 3,[8] = 8,[9] = 12,[10] = 13",100
48,"[1] = 10,[2] = 13,[3] = 6,[4] = 13,[5] = 12,[6] = 8,[7] = 13,[8] = 8,[9] = 7,[10] = 10",100
