索引,随机,数量
index_kn,random_t,num_n
1,"[1] = 2,[2] = 1,[3] = 1,[4] = 1,[8] = 2,[10] = 1,[9] = 1,[7] = 1",10
2,"[1] = 1,[3] = 2,[4] = 3,[10] = 1,[7] = 2,[9] = 1",10
3,"[1] = 2,[2] = 1,[3] = 1,[4] = 3,[5] = 1,[10] = 2",10
4,"[6] = 2,[2] = 1,[10] = 2,[1] = 2,[4] = 2,[9] = 1",10
5,"[6] = 1,[8] = 1,[3] = 1,[1] = 1,[4] = 3,[9] = 2,[10] = 1",10
6,"[3] = 1,[2] = 1,[7] = 1,[10] = 1,[1] = 1,[4] = 1,[9] = 2,[5] = 2",10
7,"[1] = 1,[2] = 2,[9] = 2,[10] = 2,[7] = 2,[6] = 1",10
8,"[1] = 1,[2] = 2,[3] = 2,[5] = 1,[7] = 1,[8] = 1,[9] = 1,[10] = 1",10
9,"[1] = 2,[3] = 1,[4] = 2,[8] = 2,[10] = 1,[9] = 2",10
10,"[2] = 1,[3] = 3,[4] = 1,[5] = 1,[6] = 1,[7] = 1,[8] = 1,[9] = 1",10
11,"[6] = 2,[2] = 1,[8] = 1,[10] = 1,[1] = 1,[9] = 2,[3] = 2",10
12,"[1] = 1,[2] = 1,[3] = 1,[5] = 2,[6] = 2,[7] = 1,[8] = 1,[10] = 1",10
13,"[6] = 1,[7] = 1,[10] = 3,[1] = 1,[4] = 2,[9] = 1,[3] = 1",10
14,"[1] = 4,[2] = 1,[3] = 1,[5] = 2,[6] = 1,[7] = 1",10
15,"[3] = 5,[6] = 3,[7] = 1,[9] = 1",10
16,"[6] = 1,[8] = 2,[3] = 2,[4] = 3,[9] = 2",10
17,"[2] = 2,[3] = 1,[4] = 3,[5] = 2,[7] = 1,[8] = 1",10
18,"[1] = 1,[6] = 2,[7] = 1,[8] = 1,[10] = 2,[3] = 1,[5] = 1,[9] = 1",10
19,"[2] = 2,[8] = 1,[10] = 1,[4] = 2,[5] = 3,[9] = 1",10
20,"[2] = 1,[3] = 3,[4] = 1,[6] = 1,[8] = 1,[10] = 3",10
21,"[1] = 1,[2] = 2,[3] = 2,[4] = 1,[5] = 2,[7] = 1,[8] = 1",10
22,"[1] = 1,[8] = 1,[3] = 2,[5] = 1,[9] = 2,[10] = 3",10
23,"[1] = 2,[2] = 2,[3] = 1,[4] = 1,[5] = 2,[8] = 2",10
24,"[2] = 1,[3] = 2,[4] = 1,[5] = 1,[6] = 1,[8] = 2,[10] = 2",10
25,"[1] = 3,[3] = 2,[10] = 1,[7] = 3,[5] = 1",10
26,"[1] = 1,[2] = 1,[3] = 3,[4] = 1,[5] = 1,[7] = 1,[8] = 1,[9] = 1",10
27,"[1] = 1,[2] = 1,[3] = 4,[4] = 1,[6] = 1,[7] = 1,[10] = 1",10
28,"[1] = 2,[6] = 1,[2] = 1,[10] = 1,[4] = 2,[9] = 1,[5] = 2",10
29,"[1] = 1,[2] = 1,[3] = 2,[5] = 2,[6] = 1,[7] = 1,[8] = 2",10
30,"[6] = 1,[7] = 1,[10] = 2,[3] = 2,[4] = 2,[9] = 1,[5] = 1",10
31,"[1] = 1,[2] = 2,[3] = 1,[4] = 2,[7] = 2,[10] = 1,[9] = 1",10
32,"[1] = 1,[7] = 2,[10] = 1,[5] = 1,[4] = 1,[9] = 3,[3] = 1",10
33,"[1] = 3,[6] = 1,[7] = 1,[10] = 1,[4] = 2,[9] = 1,[5] = 1",10
34,"[2] = 1,[3] = 1,[4] = 2,[6] = 1,[7] = 1,[8] = 1,[10] = 1,[9] = 2",10
35,"[6] = 1,[7] = 4,[8] = 1,[3] = 2,[9] = 1,[5] = 1",10
36,"[6] = 1,[7] = 2,[8] = 2,[1] = 1,[2] = 1,[9] = 2,[5] = 1",10
37,"[1] = 2,[3] = 2,[4] = 1,[6] = 1,[7] = 2,[10] = 2",10
38,"[1] = 1,[3] = 1,[4] = 1,[5] = 2,[7] = 2,[8] = 2,[9] = 1",10
39,"[1] = 2,[3] = 1,[10] = 1,[9] = 2,[6] = 4",10
40,"[1] = 2,[3] = 3,[4] = 1,[6] = 1,[8] = 2,[9] = 1",10
41,"[1] = 3,[2] = 2,[8] = 1,[10] = 2,[9] = 2",10
42,"[7] = 2,[10] = 1,[3] = 2,[1] = 1,[4] = 1,[9] = 2,[2] = 1",10
43,"[1] = 2,[3] = 1,[4] = 5,[5] = 1,[7] = 1",10
44,"[1] = 2,[3] = 1,[4] = 1,[5] = 1,[6] = 2,[7] = 1,[9] = 1,[10] = 1",10
45,"[1] = 1,[3] = 1,[4] = 1,[5] = 1,[6] = 1,[8] = 2,[9] = 3",10
46,"[1] = 2,[3] = 1,[5] = 1,[6] = 1,[7] = 1,[8] = 1,[9] = 3",10
47,"[2] = 3,[8] = 1,[3] = 1,[4] = 3,[5] = 1,[9] = 1",10
48,"[1] = 1,[2] = 3,[5] = 1,[7] = 2,[8] = 1,[9] = 1,[10] = 1",10
49,"[7] = 1,[3] = 3,[5] = 2,[4] = 1,[9] = 2,[2] = 1",10
50,"[6] = 2,[2] = 2,[8] = 1,[3] = 1,[9] = 3,[5] = 1",10
