索引,随机,数量
index_kn,random_t,num_n
1,"[1] = 83,[2] = 114,[3] = 89,[4] = 104,[5] = 94,[6] = 109,[7] = 94,[8] = 111,[9] = 114,[10] = 88",1000
2,"[1] = 104,[2] = 105,[3] = 104,[4] = 102,[5] = 102,[6] = 90,[7] = 90,[8] = 91,[9] = 96,[10] = 116",1000
3,"[1] = 93,[2] = 111,[3] = 98,[4] = 113,[5] = 86,[6] = 101,[7] = 98,[8] = 89,[9] = 97,[10] = 114",1000
4,"[1] = 108,[2] = 87,[3] = 97,[4] = 115,[5] = 98,[6] = 102,[7] = 89,[8] = 101,[9] = 100,[10] = 103",1000
5,"[1] = 88,[2] = 117,[3] = 98,[4] = 109,[5] = 103,[6] = 104,[7] = 93,[8] = 94,[9] = 92,[10] = 102",1000
6,"[1] = 101,[2] = 106,[3] = 99,[4] = 105,[5] = 99,[6] = 93,[7] = 90,[8] = 103,[9] = 99,[10] = 105",1000
7,"[1] = 131,[2] = 104,[3] = 110,[4] = 113,[5] = 89,[6] = 82,[7] = 96,[8] = 97,[9] = 90,[10] = 88",1000
8,"[1] = 110,[2] = 107,[3] = 99,[4] = 108,[5] = 95,[6] = 104,[7] = 90,[8] = 87,[9] = 103,[10] = 97",1000
9,"[1] = 101,[2] = 105,[3] = 105,[4] = 89,[5] = 94,[6] = 107,[7] = 94,[8] = 105,[9] = 97,[10] = 103",1000
10,"[1] = 111,[2] = 113,[3] = 106,[4] = 91,[5] = 93,[6] = 97,[7] = 103,[8] = 100,[10] = 95,[9] = 91",1000
11,"[1] = 109,[2] = 98,[3] = 88,[4] = 92,[5] = 122,[6] = 102,[7] = 85,[8] = 104,[9] = 108,[10] = 92",1000
12,"[1] = 103,[2] = 88,[3] = 92,[4] = 122,[5] = 101,[6] = 99,[7] = 112,[8] = 92,[9] = 94,[10] = 97",1000
13,"[1] = 100,[2] = 113,[3] = 100,[4] = 112,[5] = 90,[6] = 101,[7] = 104,[8] = 95,[10] = 99,[9] = 86",1000
14,"[1] = 106,[2] = 109,[3] = 108,[4] = 85,[5] = 89,[6] = 98,[7] = 92,[8] = 110,[10] = 102,[9] = 101",1000
15,"[1] = 110,[2] = 87,[3] = 106,[4] = 102,[5] = 107,[6] = 100,[7] = 110,[8] = 89,[9] = 100,[10] = 89",1000
16,"[1] = 95,[2] = 101,[3] = 92,[4] = 112,[5] = 96,[6] = 104,[7] = 85,[8] = 92,[9] = 125,[10] = 98",1000
17,"[1] = 97,[2] = 97,[3] = 108,[4] = 104,[5] = 99,[6] = 85,[7] = 119,[8] = 98,[9] = 96,[10] = 97",1000
18,"[1] = 98,[2] = 105,[3] = 91,[4] = 103,[5] = 98,[6] = 98,[7] = 118,[8] = 98,[9] = 95,[10] = 96",1000
19,"[1] = 100,[2] = 115,[3] = 90,[4] = 105,[5] = 97,[6] = 104,[7] = 96,[8] = 99,[9] = 90,[10] = 104",1000
20,"[1] = 91,[2] = 111,[3] = 109,[4] = 97,[5] = 100,[6] = 91,[7] = 96,[8] = 112,[9] = 99,[10] = 94",1000
21,"[1] = 114,[2] = 85,[3] = 89,[4] = 98,[5] = 101,[6] = 104,[7] = 91,[8] = 102,[9] = 118,[10] = 98",1000
22,"[1] = 90,[2] = 106,[3] = 110,[4] = 93,[5] = 101,[6] = 93,[7] = 104,[8] = 113,[9] = 97,[10] = 93",1000
23,"[1] = 94,[2] = 111,[3] = 101,[4] = 83,[5] = 124,[6] = 93,[7] = 109,[8] = 83,[9] = 108,[10] = 94",1000
24,"[1] = 131,[2] = 91,[3] = 98,[4] = 77,[5] = 89,[6] = 86,[7] = 96,[8] = 100,[9] = 125,[10] = 107",1000
25,"[1] = 97,[2] = 110,[3] = 93,[4] = 104,[5] = 98,[6] = 96,[7] = 93,[8] = 94,[10] = 111,[9] = 104",1000
26,"[1] = 94,[2] = 97,[3] = 113,[4] = 96,[5] = 73,[6] = 94,[7] = 112,[8] = 98,[9] = 110,[10] = 113",1000
27,"[1] = 105,[2] = 102,[3] = 98,[4] = 115,[5] = 84,[6] = 100,[7] = 93,[8] = 110,[9] = 92,[10] = 101",1000
28,"[1] = 68,[2] = 113,[3] = 118,[4] = 122,[5] = 100,[6] = 104,[7] = 114,[8] = 84,[9] = 102,[10] = 75",1000
29,"[1] = 91,[2] = 112,[3] = 118,[4] = 102,[5] = 91,[6] = 102,[7] = 97,[8] = 91,[9] = 95,[10] = 101",1000
30,"[1] = 92,[2] = 101,[3] = 127,[4] = 88,[5] = 94,[6] = 99,[7] = 112,[8] = 103,[10] = 90,[9] = 94",1000
31,"[1] = 88,[2] = 105,[3] = 115,[4] = 111,[5] = 100,[6] = 86,[7] = 100,[8] = 108,[9] = 89,[10] = 98",1000
32,"[1] = 104,[2] = 94,[3] = 100,[4] = 106,[5] = 87,[6] = 99,[7] = 83,[8] = 101,[9] = 110,[10] = 116",1000
33,"[1] = 91,[2] = 102,[3] = 105,[4] = 97,[5] = 114,[6] = 100,[7] = 101,[8] = 78,[9] = 101,[10] = 111",1000
34,"[1] = 104,[2] = 82,[3] = 117,[4] = 98,[5] = 104,[6] = 102,[7] = 94,[8] = 91,[9] = 92,[10] = 116",1000
35,"[1] = 103,[2] = 101,[3] = 84,[4] = 103,[5] = 97,[6] = 101,[7] = 98,[8] = 100,[9] = 117,[10] = 96",1000
36,"[1] = 86,[2] = 108,[3] = 99,[4] = 113,[5] = 98,[6] = 98,[7] = 98,[8] = 102,[9] = 105,[10] = 93",1000
37,"[1] = 93,[2] = 105,[3] = 92,[4] = 100,[5] = 100,[6] = 87,[7] = 97,[8] = 108,[9] = 106,[10] = 112",1000
38,"[1] = 89,[2] = 89,[3] = 96,[4] = 101,[5] = 106,[6] = 92,[7] = 118,[8] = 111,[9] = 94,[10] = 104",1000
39,"[1] = 96,[2] = 105,[3] = 101,[4] = 82,[5] = 101,[6] = 112,[7] = 90,[8] = 106,[9] = 107,[10] = 100",1000
40,"[1] = 101,[2] = 93,[3] = 98,[4] = 111,[5] = 105,[6] = 104,[7] = 99,[8] = 100,[9] = 92,[10] = 97",1000
41,"[1] = 89,[2] = 106,[3] = 113,[4] = 100,[5] = 100,[6] = 98,[7] = 99,[8] = 98,[9] = 102,[10] = 95",1000
42,"[1] = 96,[2] = 97,[3] = 109,[4] = 100,[5] = 102,[6] = 79,[7] = 102,[8] = 100,[9] = 110,[10] = 105",1000
43,"[1] = 100,[2] = 123,[3] = 103,[4] = 86,[5] = 107,[6] = 89,[7] = 113,[8] = 102,[9] = 84,[10] = 93",1000
44,"[1] = 122,[2] = 107,[3] = 100,[4] = 109,[5] = 74,[6] = 97,[7] = 99,[8] = 88,[10] = 107,[9] = 97",1000
45,"[1] = 100,[2] = 94,[3] = 114,[4] = 105,[5] = 89,[6] = 97,[7] = 97,[8] = 123,[10] = 89,[9] = 92",1000
46,"[1] = 99,[2] = 98,[3] = 95,[4] = 121,[5] = 98,[6] = 87,[7] = 100,[8] = 105,[9] = 95,[10] = 102",1000
47,"[1] = 99,[2] = 100,[3] = 104,[4] = 107,[5] = 96,[6] = 88,[7] = 110,[8] = 93,[9] = 112,[10] = 91",1000
48,"[1] = 97,[2] = 91,[3] = 108,[4] = 109,[5] = 93,[6] = 80,[7] = 108,[8] = 122,[9] = 96,[10] = 96",1000
49,"[1] = 101,[2] = 89,[3] = 89,[4] = 120,[5] = 110,[6] = 99,[7] = 101,[8] = 109,[9] = 98,[10] = 84",1000
50,"[1] = 94,[2] = 101,[3] = 85,[4] = 91,[5] = 109,[6] = 96,[7] = 106,[8] = 120,[9] = 96,[10] = 102",1000
