灰 1；绿 2；蓝 3；紫色 4;金色 5;红色 6,索引,同个品质，不同法宝权重（普通打造）,同个品质，不同法宝权重（完美打造）
Quality_kn,ItemEntry_kn,ordinaryTalisman,perfectTalisman
1,19001,100,0
1,19002,160,0
1,19003,100,0
1,19004,20,0
1,19005,160,0
1,19006,100,0
1,19007,90,0
1,19008,160,0
2,19001,500,0
2,19002,300,0
2,19003,400,0
2,19004,600,0
2,19005,700,0
2,19006,500,0
2,19007,600,0
2,19008,400,0
3,19001,200,0
3,19002,300,0
3,19003,400,0
3,19004,100,0
3,19005,100,0
3,19006,200,0
3,19007,100,0
3,19008,100,0
4,19001,200,200
4,19002,100,100
4,19003,100,100
4,19004,100,100
4,19005,50,50
4,19006,50,50
4,19007,50,50
4,19008,50,50
5,19001,3,3
5,19002,3,3
5,19003,3,3
5,19004,3,3
5,19005,1,1
5,19006,1,1
5,19007,1,1
5,19008,1,1
6,19001,0,3
6,19002,0,3
6,19003,0,3
6,19004,0,3
6,19005,0,1
6,19006,0,1
6,19007,0,1
6,19008,0,1
