索引,说明,库,道具ID,物品名称,道具类型,权重,数量,条件
index_kn,readme_c,lib,item,name_c,itemType_s,weight,count,condition_t
1,圣地材料礼包,137,20035,無花果,item,1,1,
2,,137,40021,一箱青蘋果,item,12,10,
3,,137,40010,錢袋,item,12,100,
4,,137,20058,強化石,item,4,25,
5,,137,40003,中級強化石,item,10,4,
6,,137,20043,玫瑰花,item,1,1,
7,,137,40012,抽獎券,item,10,2,
8,,137,20050,毒牙,item,1,1,
9,,137,30002,紅蘋果,item,3,3,
10,,137,40010,錢袋,item,10,100,
11,,137,20055,幸運石,item,10,1,
12,,137,70008,守護源力,item,10,2,
13,,137,21002,舊武器,item,3,1,
14,,137,20045,海水,item,1,1,
15,,137,40011,聖地雙倍藥水,item,12,1,
16,三阶装备礼包,138,300032,勝利之劍,item,9,1,
17,,138,300033,冰霜魔杖,item,9,1,
18,,138,300034,精靈軟帽,item,10,1,
19,,138,300035,魔法長袍,item,10,1,
20,,138,300036,怪力指環,item,10,1,
21,,138,300037,守護指環,item,10,1,
22,,138,300038,潮汐之力,item,10,1,
23,,138,300039,海洋之心,item,10,1,
24,,138,300040,神速項鏈,item,6,1,
25,,138,300041,賢者之心,item,6,1,
26,,138,300043,巨猿皮帶,item,10,1,
27,高级装备礼包,139,300049,雷霆法杖,item,3,1,
28,,139,300048,永恆之槍,item,3,1,
29,,139,300053,傳承指環,item,3,1,
30,,139,300052,酋長指環,item,3,1,
31,,139,300050,龍骨紗帽,item,3,1,
32,,139,300059,巨龍腰帶,item,5,1,
33,,139,300057,光明項鏈,item,5,1,
34,,139,300055,頭腦項鏈,item,5,1,
35,,139,300056,閃光項鏈,item,5,1,
36,,139,300054,殺神項鏈,item,5,1,
37,,139,300051,惡魔軟甲,item,5,1,
38,,139,300032,勝利之劍,item,5,1,
39,,139,300033,冰霜魔杖,item,5,1,
40,,139,300034,精靈軟帽,item,5,1,
41,,139,300035,魔法長袍,item,5,1,
42,,139,300036,怪力指環,item,5,1,
43,,139,300037,守護指環,item,5,1,
44,,139,300038,潮汐之力,item,5,1,
45,,139,300039,海洋之心,item,5,1,
46,,139,300040,神速項鏈,item,5,1,
47,,139,300041,賢者之心,item,5,1,
48,,139,300043,巨猿皮帶,item,5,1,
49,锻造石礼包,140,20059,鍛造石,item,43,1,
50,,140,20059,鍛造石,item,40,3,
51,,140,20059,鍛造石,item,5,5,
52,,140,20059,鍛造石,item,3,7,
53,,140,20059,鍛造石,item,3,15,
54,,140,20059,鍛造石,item,3,20,
55,,140,20059,鍛造石,item,2,30,
56,,140,20059,鍛造石,item,1,50,
57,精美礼包,141,40020,神奇寶箱,item,6,50,
58,,141,40023,鑽石,item,5,5,
59,,141,40023,鑽石,item,1,100,
60,,141,40021,一箱青蘋果,item,8,25,
61,,141,40019,活力藥水,item,7,2,
62,,141,40022,美味雞腿,item,7,15,
63,,141,20001,鮮花99,item,7,297,
64,,141,40012,抽獎券,item,8,5,
65,,141,40033,刷新令牌,item,6,8,
66,,141,40027,聖地掛機卷,item,7,5,
67,,141,20059,鍛造石,item,6,3,
68,,141,20055,幸運石,item,5,3,
69,,141,70008,守護源力,item,5,3,
70,,141,40184,聖光再起解鎖書,item,1,1,
71,,141,40019,活力藥水,item,5,2,
72,,141,40018,聖地三倍水,item,6,1,
73,,141,40004,高級強化石,item,3,3,
74,,141,20059,鍛造石,item,3,5,
75,,141,60011,治療石1級,item,1,1,
76,,141,40435,奧義解鎖憑證,item,2,1,
77,,141,50024,神魂結晶,item,1,6,
78,装备礼包,142,300016,死神鐮刀,item,5,1,
79,,142,300017,沃斯手杖,item,5,1,
80,,142,300018,海蛇草帽,item,5,1,
81,,142,300019,巫師長袍,item,5,1,
82,,142,300020,勇士指環,item,5,1,
83,,142,300021,月光指環,item,5,1,
84,,142,300022,屠龍項鏈,item,4,1,
85,,142,300023,智者項鏈,item,4,1,
86,,142,300024,疾風項鏈,item,4,1,
87,,142,300025,草木項鏈,item,5,1,
88,,142,300027,霸王腰帶,item,5,1,
89,,142,300043,巨猿皮帶,item,5,1,
90,,142,300032,勝利之劍,item,4,1,
91,,142,300033,冰霜魔杖,item,4,1,
92,,142,300034,精靈軟帽,item,5,1,
93,,142,300035,魔法長袍,item,5,1,
94,,142,300036,怪力指環,item,4,1,
95,,142,300037,守護指環,item,4,1,
96,,142,300038,潮汐之力,item,3,1,
97,,142,300039,海洋之心,item,3,1,
98,,142,300040,神速項鏈,item,3,1,
99,,142,300041,賢者之心,item,3,1,
100,守护技能礼包,143,40184,聖光再起解鎖書,item,1600,1,
101,,143,40185,暗黑秘術解鎖書,item,900,1,
102,,143,40186,迴旋之刃解鎖書,item,1200,1,
103,,143,40187,能量注入解鎖書,item,500,1,
104,,143,40188,奧義注入解鎖書,item,1000,1,
105,,143,40189,時空禁錮解鎖書,item,1100,1,
106,,143,40190,吸引火力解鎖書,item,700,1,
107,,143,40191,噬血解鎖書,item,1500,1,
108,,143,40195,疾行術解鎖書,item,1499,1,
109,,143,40193,沉默出擊解鎖書,item,1,1,
110,福袋,144,40020,神奇寶箱,item,7,80,
111,,144,40023,小钻石包,item,5,10,
112,,144,40017,钻石包,item,4,2,
113,,144,40021,一箱青蘋果,item,5,50,
114,,144,40019,活力藥水,item,6,5,
115,,144,40022,美味雞腿,item,6,15,
116,,144,20001,鮮花,item,6,297,
117,,144,40012,抽獎券,item,8,5,
118,,144,40033,刷新令牌,item,5,8,
119,,144,40027,聖地掛機卷,item,6,10,
120,,144,20059,鍛造石,item,5,5,
121,,144,20055,幸運石,item,5,5,
122,,144,70008,守護源力,item,6,5,
123,,144,40026,爛雞蛋,item,5,20,
124,,144,20058,初級強化石,item,5,35,
125,,144,40003,中級強化石,item,5,5,
126,,144,40004,高級強化石,item,5,5,
127,,144,40027,聖地掛機卷,item,6,10,
128,四阶装备礼包,145,300049,雷霆法杖,item,10,1,
129,,145,300048,永恆之槍,item,10,1,
130,,145,300053,傳承指環,item,10,1,
131,,145,300052,酋長指環,item,10,1,
132,,145,300050,龍骨紗帽,item,7,1,
133,,145,300059,巨龍腰帶,item,7,1,
134,,145,300057,光明項鏈,item,10,1,
135,,145,300055,頭腦項鏈,item,10,1,
136,,145,300056,閃光項鏈,item,10,1,
137,,145,300054,殺神項鏈,item,10,1,
138,,145,300051,惡魔軟甲,item,6,1,
139,天赋石盒子,146,60001,爆傷石1級,item,12,1,
140,,146,60011,治療石1級,item,12,1,
141,,146,60051,能量石1級,item,11,1,
142,,146,60061,吸血石1級,item,11,1,
143,,146,60071,免傷石1級,item,12,1,
144,,146,60081,攻擊石1級,item,11,1,
145,,146,60091,魔法石1級,item,11,1,
146,,146,60101,防斷石1級,item,12,1,
147,,146,60111,減能石1級,item,8,1,
148,,147,70008,守護源力,item,35,2,
149,,147,70008,守護源力,item,15,5,
150,,147,70008,守護源力,item,5,8,
151,,147,40016,守護鎖,item,23,2,
152,,147,40001,金剛鑽,item,22,1,
153,钱袋礼包,148,40010,500钱袋,item,75,20,
154,,148,40010,500钱袋,item,9,60,
155,,148,40010,500钱袋,item,10,100,
156,,148,40010,500钱袋,item,3,160,
157,,148,40010,500钱袋,item,1,200,
158,,148,40010,500钱袋,item,1,300,
159,,148,40010,500钱袋,item,1,360,
160,,148,40010,500钱袋,item,1,400,
161,强化石礼包,149,20058,初级强化石,item,50,1,
162,,149,20058,初级强化石,item,15,3,
163,,149,20058,初级强化石,item,15,5,
164,,149,20058,初级强化石,item,10,10,
165,,149,20058,初级强化石,item,3,15,
166,,149,20058,初级强化石,item,3,20,
167,,149,20058,初级强化石,item,3,30,
168,,149,20058,初级强化石,item,1,50,
169,豪华礼包,150,40416,万能召集石,item,5,1,
170,,150,40023,小钻石,item,800,2,
171,,150,40011,圣地双倍药水,item,800,1,
172,,150,20001,鲜花,item,600,99,
173,,150,20001,鲜花,item,500,999,
174,,150,40018,圣地三倍药水,item,600,1,
175,,150,40012,抽奖券,item,600,4,
176,,150,40023,小钻石,item,50,20,
177,,150,20058,初级强化石,item,1000,30,
178,,150,40188,奥义注入解锁书,item,50,1,
179,,150,40020,神奇宝箱,item,1000,75,
180,,150,60051,能量石1级,item,50,1,
181,,150,20029,进阶石,item,200,1,
182,,150,40003,中级强化石,item,700,8,
183,,150,40026,烂鸡蛋,item,700,100,
184,,150,70008,守护源力,item,700,2,
185,,150,30006,火龙果,item,700,3,
186,,150,40021,神奇水果,item,900,50,
187,万能召集石,151,18000,雅典娜,pet,100,1,
188,,151,18001,波塞东,pet,100,1,
189,,151,18002,安菲特里忒,pet,100,1,
190,,151,18003,潘,pet,100,1,
191,,151,18004,赫淮斯托斯,pet,100,1,
192,,151,18005,泰坦,pet,100,1,
193,,151,18006,赫尔墨斯,pet,100,1,
194,,151,18007,莫提斯,pet,100,1,
195,,151,18009,安菲特里忒,pet,100,1,
196,,151,18010,普罗米修斯,pet,100,1,
197,,151,18012,阿基里斯,pet,100,1,
198,,151,18013,奥丁,pet,100,1,
199,,151,18017,阿瑞斯,pet,100,1,
200,,151,18018,许德拉,pet,100,1,
201,具体女神召集石,152,18000,雅典娜,pet,100,1,
202,,153,18001,波塞东,pet,100,1,
203,,154,18002,安菲特里忒,pet,100,1,
204,,155,18003,潘,pet,100,1,
205,,156,18004,赫淮斯托斯,pet,100,1,
206,,157,18005,泰坦,pet,100,1,
207,,158,18006,赫尔墨斯,pet,100,1,
208,,159,18007,莫提斯,pet,100,1,
