索引,说明,库,物品ID,物品名称,权重,数量,品质,条件,修正增加权重,装备额外属性加成
index_kn,readme_c,lib,item,name_c,weight,count,quality_t,condition_t,addWeight,addnum_t
1,随机技能书,1,30001,坐骑技能书,100,1,,,,
2,,1,30002,翅膀技能书,100,1,,,,
3,,1,30003,法阵技能书,100,1,,,,
4,,1,30004,神位技能书,100,1,,,,
5,,1,30005,通灵技能书,100,1,,,,
6,,1,30006,元神技能书,100,1,,,,
7,,1,30007,天仙技能书,100,1,,,,
8,,1,30008,神兵技能书,100,1,,,,
9,随机属性丹,2,60025,生命丹,24,1,,,,
10,,2,60026,攻击丹,24,1,,,,
11,,2,60027,防御丹,24,1,,,,
12,,2,60028,命中丹,5,1,,,,
13,,2,60029,闪避丹,5,1,,,,
14,,2,60030,暴击丹,6,1,,,,
15,,2,60031,抗暴丹,6,1,,,,
16,,2,60032,攻速丹,6,1,,,,
17,随机进阶属性丹,3,20001,坐骑进阶丹,100,1,,,,
18,,3,20002,天仙进阶丹,100,1,,,,
19,,3,20003,神兵进阶丹,100,1,,,,
20,,3,20004,翅膀进阶丹,100,1,,,,
21,,3,20005,法阵进阶丹,100,1,,,,
22,,3,20006,神位进阶丹,100,1,,,,
23,,3,20007,通灵进阶丹,100,1,,,,
24,,3,20008,元神进阶丹,100,1,,,,
25,,3,20009,女王进阶丹,100,1,,,,
26,,3,20010,仙器进阶丹,100,1,,,,
27,,3,20011,花辇进阶丹,100,1,,,,
28,,3,20012,灵气进阶丹,100,1,,,,
29,进阶丹礼包,4,20001,坐骑进阶丹,40,1,,,,
30,,4,20001,坐骑进阶丹,30,2,,,,
31,,4,20001,坐骑进阶丹,20,5,,,,
32,,4,20001,坐骑进阶丹,10,10,,,,
33,,4,20002,天仙进阶丹,40,1,,,,
34,,4,20002,天仙进阶丹,30,2,,,,
35,,4,20002,天仙进阶丹,20,5,,,,
36,,4,20002,天仙进阶丹,10,10,,,,
37,,4,20003,神兵进阶丹,40,1,,,,
38,,4,20003,神兵进阶丹,30,2,,,,
39,,4,20003,神兵进阶丹,20,5,,,,
40,,4,20003,神兵进阶丹,10,10,,,,
41,,4,20004,翅膀进阶丹,40,1,,,,
42,,4,20004,翅膀进阶丹,30,2,,,,
43,,4,20004,翅膀进阶丹,20,5,,,,
44,,4,20004,翅膀进阶丹,10,10,,,,
45,,4,20005,法阵进阶丹,40,1,,,,
46,,4,20005,法阵进阶丹,30,2,,,,
47,,4,20005,法阵进阶丹,20,5,,,,
48,,4,20005,法阵进阶丹,10,10,,,,
49,,4,20006,神位进阶丹,40,1,,,,
50,,4,20006,神位进阶丹,30,2,,,,
51,,4,20006,神位进阶丹,20,5,,,,
52,,4,20006,神位进阶丹,10,10,,,,
53,,4,20007,通灵进阶丹,40,1,,,,
54,,4,20007,通灵进阶丹,30,2,,,,
55,,4,20007,通灵进阶丹,20,5,,,,
56,,4,20007,通灵进阶丹,10,10,,,,
57,,4,20008,元神进阶丹,40,1,,,,
58,,4,20008,元神进阶丹,30,2,,,,
59,,4,20008,元神进阶丹,20,5,,,,
60,,4,20008,元神进阶丹,10,10,,,,
61,,4,20009,女王进阶丹,40,1,,,,
62,,4,20009,女王进阶丹,30,2,,,,
63,,4,20009,女王进阶丹,20,5,,,,
64,,4,20009,女王进阶丹,10,10,,,,
65,,4,20010,仙器进阶丹,40,1,,,,
66,,4,20010,仙器进阶丹,30,2,,,,
67,,4,20010,仙器进阶丹,20,5,,,,
68,,4,20010,仙器进阶丹,10,10,,,,
69,,4,20011,花辇进阶丹,40,1,,,,
70,,4,20011,花辇进阶丹,30,2,,,,
71,,4,20011,花辇进阶丹,20,5,,,,
72,,4,20011,花辇进阶丹,10,10,,,,
73,,4,20012,灵气进阶丹,40,1,,,,
74,,4,20012,灵气进阶丹,30,2,,,,
75,,4,20012,灵气进阶丹,20,5,,,,
76,,4,20012,灵气进阶丹,10,10,,,,
77,生死劫宝箱,5,60091,绑元中包,100,1,,,,
78,,6,60001,精炼石,100,500,,,,
79,,6,60002,锻造石,100,100,,,,
80,,6,60003,宝石精华,100,10,,,,
81,,6,20009,女王进阶丹,100,10,,,,
82,,6,20010,仙器进阶丹,100,10,,,,
83,,6,20011,花辇进阶丹,100,10,,,,
84,,6,20012,灵气进阶丹,100,10,,,,
85,,6,60074,法书,100,5,,,,
86,,6,60075,神铁,100,5,,,,
87,生死劫几率掉落,7,20009,女王进阶丹,100,1,,,,
88,,7,20010,仙器进阶丹,100,1,,,,
89,,7,20011,花辇进阶丹,100,1,,,,
90,,7,20012,灵气进阶丹,100,1,,,,
91,,7,20009,女王进阶丹,100,2,,,,
92,,7,20010,仙器进阶丹,100,2,,,,
93,,7,20011,花辇进阶丹,100,2,,,,
94,,7,20012,灵气进阶丹,100,2,,,,
95,,7,20009,女王进阶丹,100,5,,,,
96,,7,20010,仙器进阶丹,100,5,,,,
97,,7,20011,花辇进阶丹,100,5,,,,
98,,7,20012,灵气进阶丹,100,5,,,,
99,,8,20015,法宝升阶石,100,2,,,,
101,帮会副本1,9,60025,生命丹,100,1,,,,
102,,9,60026,攻击丹,100,1,,,,
103,,9,60027,防御丹,100,1,,,,
104,,9,60028,命中丹,100,1,,,,
106,帮会副本2,10,60032,攻速丹,100,1,,,,
107,,10,60031,抗暴丹,100,1,,,,
108,,10,60030,暴击丹,100,1,,,,
109,,10,60029,闪避丹,100,1,,,,
111,帮会副本3,11,60027,防御丹,100,1,,,,
112,,11,60029,闪避丹,100,1,,,,
113,,11,60031,抗暴丹,100,1,,,,
114,,11,60025,生命丹,100,1,,,,
115,,11,60032,攻速丹,100,1,,,,
117,帮会副本4,12,60059,随机属性丹,100,1,,,,
118,,12,60025,生命丹,100,1,,,,
119,,12,60026,攻击丹,100,1,,,,
120,,12,60027,防御丹,100,1,,,,
121,,12,60028,命中丹,100,1,,,,
123,帮会副本5,13,60059,随机属性丹,100,1,,,,
124,,13,60032,攻速丹,100,1,,,,
125,,13,60031,抗暴丹,100,1,,,,
126,,13,60030,暴击丹,100,1,,,,
127,,13,60029,闪避丹,100,1,,,,
129,帮会副本6,14,60027,防御丹,100,1,,,,
130,,14,60029,闪避丹,100,1,,,,
131,,14,60031,抗暴丹,100,1,,,,
132,,14,60025,生命丹,100,1,,,,
133,,14,60032,攻速丹,100,1,,,,
135,帮会副本7,15,60059,随机属性丹,100,1,,,,
136,,15,60025,生命丹,100,1,,,,
137,,15,60026,攻击丹,100,1,,,,
138,,15,60027,防御丹,100,1,,,,
139,,15,60028,命中丹,100,1,,,,
141,帮会副本8,16,60059,随机属性丹,100,1,,,,
142,,16,60032,攻速丹,100,1,,,,
143,,16,60031,抗暴丹,100,1,,,,
144,,16,60030,暴击丹,100,1,,,,
145,,16,60029,闪避丹,100,1,,,,
147,帮会副本9,17,60027,防御丹,100,1,,,,
148,,17,60029,闪避丹,100,1,,,,
149,,17,60031,抗暴丹,100,1,,,,
150,,17,60025,生命丹,100,1,,,,
151,,17,60032,攻速丹,100,1,,,,
153,帮会副本10,18,60027,防御丹,100,1,,,,
154,,18,60029,闪避丹,100,1,,,,
155,,18,60031,抗暴丹,100,1,,,,
156,,18,60025,生命丹,100,1,,,,
157,,18,60032,攻速丹,100,1,,,,
158,女王书籍,19,30009,女王技能书,100,1,,,,
159,,19,30010,仙位技能书,100,1,,,,
160,,19,30011,花辇技能书,100,1,,,,
161,,19,30012,灵气技能书,100,1,,,,
162,属性丹礼包,20,60033,坐骑属性丹,100,1,,,,
163,,20,60034,翅膀属性丹,100,1,,,,
164,,20,60035,法阵属性丹,100,1,,,,
165,,20,60036,神位属性丹,100,1,,,,
166,,20,60037,通灵属性丹,100,1,,,,
167,,20,60038,元神属性丹,100,1,,,,
168,,20,60039,天仙属性丹,100,1,,,,
169,,20,60040,神兵属性丹,100,1,,,,
170,,20,60041,女王属性丹,100,1,,,,
171,,20,60042,仙位属性丹,100,1,,,,
172,,20,60043,花辇属性丹,100,1,,,,
173,,20,60044,灵气属性丹,100,1,,,,
174,粉晶矿宝箱1,21,60107,元宝大包,100,1,,,,
175,,21,60091,绑元中包,5,1,,,,
176,粉晶矿宝箱2,22,60016,皮肤碎片,100,1,,,,
177,,22,,空,100,,,,,
178,粉晶矿宝箱3,23,20015,法宝升阶石,100,2,,,,
179,,23,,空,0,,,,,
180,粉晶矿宝箱4,24,20001,坐骑进阶丹,100,1,,,,
181,,24,20002,天仙进阶丹,100,1,,,,
182,,24,20003,神兵进阶丹,100,1,,,,
183,,24,20004,翅膀进阶丹,100,1,,,,
184,,24,20005,法阵进阶丹,100,1,,,,
185,,24,20006,神位进阶丹,100,1,,,,
186,,24,20007,通灵进阶丹,100,1,,,,
187,,24,20008,元神进阶丹,100,1,,,,
188,,24,20009,女王进阶丹,100,1,,,,
189,,24,20010,仙器进阶丹,100,1,,,,
