索引,falg_c,值
index_ks,falg_c,value_s
WORLDBOSS_RANK,0,您在世界BOSS活动里取得了击杀伤害排名第%d奖励！
WORLDBOSS_KILL,0,您在世界BOSS活动里取得了最后一击的奖励！
EXCITE_LIMIT,0,恭喜您速战速决，在限定时间内通过了%s关卡，您可获得以下奖励。
EXCITE_FIRST,0,您在关卡中首次通过%s关卡，可获得以下奖励。
EXCITE_SERVER_FIRST,0,恭喜您在服务器里首个通过%s关卡，您可获得以下奖励，更快地通过后续关卡，说不定有更多惊喜哦~
EXCITE_SERVER_JJC,0,全服竞技场%d排名奖励
EXCITE_SERVER_SKYTOWER,0,恭喜您在服务器里首个通过海底逃生的%d层数，获得以下奖励。
JJC_PRIZE,0,您在竞技场的排名为%d，获得每日排名奖励：%d竞技积分，排名更高，获得奖励会更高哦~加油吧！
WORLDQUESTION_PRIZE,0,本次趣味答题已圆满结束，根据您考试结果分数给予您以下奖励，要再接再厉哦~
WUDOU_PRIZE,0,恭喜您在斗技大赛获得%s，大会向您派发%d斗技积分奖励。
RANK1,0,冠军
RANK2,0,亚军
RANK3,0,季军
RANK4,0,4强
RANK8,0,8强
RANK16,0,16强
RANK32,0,32强
RANK64,0,64强
RANK128,0,128强
MATCH2,0,季军、亚军、冠军
MATCH3,0,2强
MATCH4,0,4强
MATCH5,0,8强
MATCH6,0,16强
MATCH7,0,32强
MATCH8,0,64强
WUDOU_APPLY_NOTICE,0,您已报名参加斗技大赛单人赛，比赛将在星期二晚上8点开始，请记得上线参加比赛（比赛需手动战斗，不上线参加将以弃权处理）。
WUDOU_BET_PRIZE,0,您押注的玩家在斗技大赛中获得了冠军，获得%d晶石奖励。
FACTIONMAP_EXTRA,0,您在帮会副本击杀%d个副本守卫，获得以下超额奖励。
FACTIONMAP_ALLOT,0,您获得了以下帮会仓库的物品分配。
RELIC_MINE_FAILED_HAVE,0,您的商船在开采过程中被%s玩家攻击抢夺，只获得了部分资源。
RELIC_MINE_FAILED_NO,0,您的商船在开采过程中被%s玩家攻击抢夺，失去商船占领权。
RELIC_MINE_AUTO,0,您的商船已经圆满完成开采，获得全部的资源。
RELIC_MINE_LEAVE_HAVE,0,您撤离了商船，失去商船的占领权，获得了部分资源。
RELIC_MINE_LEAVE_NO,0,您撤离了商船，失去商船的占领权。
RELIC_MINE_SUCCESS_HAVE,0,您成功抢夺了%s的商船获得了部分资源。
RELIC_MINE_SUCCESS_NO,0,您成功占领了%s的商船。
RELIC_MINE_GIFTS,0,您在自己占领的商船中获得了宝藏惊喜。
PAKCET_FULL_TO_MAIL,0,背包空间不足，转至邮箱发送，领取前请确认有足够的背包空间。
QIANGDA_PRIZE,0,您在每日抢答中正确回答问题，获得了以下奖励。
EQUIP_LOTTERY_EMAIL,0,当前背包已满，您通过幸运转盘获得的装备由邮件发送，请注意查收。
CHAMPION_LOST,0,由于%s在竞技场中打败了您，您的排名下降到%d名。
QIANGDA_JOIN,0,感谢您参与每日抢答活动，获得了以下奖励。
AMBASSADOR_DAILY_PRIZE,0,恭喜获得邀请大使登陆奖励（您与邀请您的玩家30天内每天都有登陆游戏即可获得10晶石）
RELIC_MINE_RIVAL_PRIZE,0,您在航海中成功反击了%s，获得反击奖励。
AMBASADOR_FIRST_RECHARGE,0,邀请大使奖励
AMBASADOR_LEVEL_UP,0,邀请大使升级奖励
FACTIONMAP_ALL,0,您在帮会封印之地击杀%d个禁地守卫，获得以下奖励。
MATRIXMAP_ALL,0,您在联盟灵阵守卫中击杀%d个灵阵守卫，获得以下奖励。
MATRIXBOSS_ALL,0,联盟灵阵守卫BOSS被击杀，所有参与者获得以下奖励。
MATRIXBOSS_RANK,0,您在联盟灵阵守卫BOSS战斗中输出排第 %s 名，获得以下奖励。
NUMBER1,0,一
NUMBER2,0,二
NUMBER3,0,三
NUMBER4,0,四
NUMBER5,0,五
NUMBER6,0,六
NUMBER7,0,七
NUMBER8,0,八
NUMBER9,0,九
NUMBER10,0,十
WARHORN,0,号角签到补偿。
BAIND_ACCOUNT,0,绑定账号成功，获得以下奖励
INVITE_FRIENDS,0,邀请FB好友成功，获得以下奖励
PLAT_SHARE,0,平台分享成功，获得以下奖励
PLR_CARD_QQ,0,完善qq信息奖励
PLR_CARD_WEIXIN,0,完善微信信息奖励
PLR_CARD_PHONE,0,完善电话号码信息奖励
QQ_FIRST_SHARE,0,qq首次分享奖励
QQ_DAILY_SHARE,0,qq每日分享奖励
WX_FIRST_SHARE,0,微信首次分享奖励
WX_DAILY_SHARE,0,微信每日分享奖励
FB_SCORE,0,感谢您宝贵的评价，获得以下奖励
FB_FIRST_SHARE,0,FaceBook首次分享奖励
FB_DAILY_SHARE,0,FaceBook每日分享奖励
L_FIRST_SHARE,0,Line首次分享奖励
L_DAILY_SHARE,0,Line每日分享奖励
SHOP_SCORE,0,感谢您宝贵的评价，获得以下奖励
CONSUME,0,累计消费奖励
EQUIP_REFINE_GROW,0,恭喜您在七天内达成装备洗练目标，获得以下奖励
EQUIP_ENHANCE_GROW,0,恭喜您在七天内达成装备强化目标，获得以下奖励
EQUIP_CAST_GROW,0,恭喜您在七天内达成装备重铸目标，获得以下奖励
NORMAL_EQUIP_STAR,0,紫色
SENIOR_EQUIP_STAR,0,金色
PRIECIOUS_EQUIP_STAR,0,彩色
SEVEN_DAY_PRIZE_SENIOR,0,恭喜你完成七日任务的进阶，获得额外奖励！
SEVEN_DAY_PRIZE_NORMAL,0,恭喜你完成七日任务的普通目标，获得额外奖励！
ZHENYING_WIN,0,恭喜您，所在阵营获得了空前胜利。请再接再厉为阵营荣誉而战，请领取奖励
ZHENYING_LOST,0,失败乃成功之母，请再接再厉为阵营的荣誉而战，请领取奖励
FACTIONWAR_RANK16,0,你们帮会报名进入了淘汰赛，比赛将在1小时后开始，请做好准备。
FACTIONWAR_RANK4,0,你们帮会通过昨天的淘汰赛夺得了进入冠军赛的资格，比赛将在1小时后开始，请做好准备。
FACTIONWAR_PRIZE1,0,恭喜您的帮会在帮会赛中获得冠军！成为了全服第一！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE2,0,恭喜您的帮会在帮会赛中获得亚军！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE3,0,恭喜您的帮会在帮会赛中获得季军！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE4,0,恭喜您的帮会在帮会淘汰赛中成为4强之一，夺得了进入冠军赛资格！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE8,0,恭喜您的帮会在帮会淘汰赛中成为8强之一！获得的帮会奖励直接进入帮会仓库。个人奖励由本邮件领取！ps:帮会仓库存放物品的上限为100个，超出的物品会消失，请提醒您的会长尽快完成分配！
FACTIONWAR_PRIZE16,0,恭喜您的帮会成功进入16强！
FACTIONWAR_FLAG,0,【%s】的旗帜
FACTIONWAR_FLAGG,0,今天军旗被众人膜拜次数达到%d次，奖励%d金币！
FACTIONWAR_FLAGL,0,今天军旗被膜拜次数较少，无法获得奖励，每天军旗被膜拜40次以上可获得奖励！
EVERY_DAY_PRICE,0,每日充值活动，获得以下奖励！
DOUBLE_PRICE,0,充值双倍活动，获得以下奖励！
PAY_SERVERS_PRICE,0,跨服冲值排行活动第%d名，获得以下奖励！
FACTIONWAR_NO_ENOUGH2,0,由于本届帮会战报名帮会数不足2个，所以本届比赛将顺延至下周，报名的帮会无需再次报名
FACTIONWAR_NO_ENOUGH5,0,由于本届帮会战报名帮会数不足5个，报名的帮会将直接进入冠军赛
FACTIONWAR_NO_ENOUGH9,0,由于本届帮会战报名帮会数不足9个，报名的帮会直接进入8强
RESULT_MONSTER_SIEGE_RANK,0,你在“怪物攻城”活动中表现活跃，成为守护英雄榜的第%d名！获得奖励以下物品！
MONSTER_SIEGE_KILL,0,经过大家的努力成功击退了【%s】，获得以下奖励！
MONSTER_SIEGE_KILL_EX,0,通过全服玩家的合作与努力，成功阻止了深渊魔王这次的攻势！为了感谢你付出的努力，奖励以下物品！
FACTION_MERGE,0,由于清除帮会战旗帜，故上届帮会战第一名帮会全团成员可于合服完成开服后领取补偿奖励（发放对象以合服时帮会成员名单为准）
WUDOUTEAM_APPLY_NOTICE,0,您已报名参加斗技大赛组队赛，比赛将在星期四晚上8点开始，请记得上线参加比赛（比赛需手动战斗，不上线参加将以弃权处理）。
HONOR_TITLE_PRIZE,0,"恭喜##sex;{汪酱,汪君}##完成了【%s】称号并获得以下奖励"
CHANGE_HONOR_POINT,0,"恭喜##sex;{汪酱,汪君}##完成了成就任务%s获得如下奖励"
HONOR_TITLE_TIME_OUT,0,称号%s已过期， 恢复成未达成状态
RANK128,0,128强
WUDOUSERVER_APPLY,0,你获得了参加跨服斗技大赛的比赛名额，比赛时间请留相关信息。
WUDOUSERVER_GAME,0,本届跨服-斗技大赛已经开始！你已经进入参赛名单，请做马上进入比赛！
WUDOUSERVER_PRIZE,0,恭喜您在跨服-斗技大赛获得%s，大会向您派发%d斗技积分奖励。
COMBAT_AGREE_EXPELLEE,0,被%s开除战队
COMBAT_AGREE_INVITE,0,%s 接受了你的邀请，成为了你的战队队员
COMBAT_AGREE_EXPELLEE,0,您被%s开除出了血盟
COMBAT_AGREE_INVITE,0,%s接受了您的邀请，成为了血盟成员
SEVEN_DAY_PRIZE,0,在七天任务中完成了%s，由于没有及时领取，补发奖励邮件
PUTONG,0,普通
JINGPIN,0,完美
ZHENPIN,0,卓越
XIYOU,0,稀有
JIPIN,0,极品
CHAOFAN,0,超凡
CHUANSHUO,0,传说
SHENGWU,0,神物
SHENQI,0,圣器
CHAOSHEN,0,超神
