索引,显示频道1系统+屏幕 2屏幕 3屏幕+弹窗 4屏幕上方,值
index_ks,stype,value_s
PACKET_FULL,2,背包空间不足
CHAMPION_TIMES,2,挑战次数已满，凌晨0点会更新次数
CHAMPION_TIME,2,请稍等片刻再挑战
CHAMPION_MATCH,3,该玩家排名发生了变化，请手动点击"换一批" 按钮刷新，刷新后重新选择挑战玩家
CHAMPION_CHANGE,2,您的排名发生改变，请手动点击"换一批" 按钮刷新
CHAMPION_BUSY,3,对方正在战斗中，请稍后再挑战
NO_RESOURCE,2,资源不够了
TEAM_NO_TEAM,2,您已经在队伍中了
TEAM_TEAM,2,您需要一个队伍
TEAM_NO_BATTLE,2,战斗中不能进行队伍操作
TEAM_NO_LEVEL,2,等级不足
TEAM_MAX_MEMBER,2,队伍成员已满
TEAM_CAPTAIN,2,您不是队长
TEAM_MEMBER,2,不能进行该操作
TEAM_NOT_ONLINE,2,玩家不在线
TEAM_HAS_TEAM,2,对方已经有队伍
TEAM_BUSYING,2,对方忙碌中
TEAM_REJECT,2,对方不接受组队
TEAM_INVITE_BACK,2,请稍等片刻再邀请
TEAM_NOT_EXIST,2,队伍不存在
TEAM_APPLY,2,成功发送申请
TEAM_REPEAT_APPLY,2,申请已发送
TEAM_BE_KICK,2,您被踢出队伍
DAILY_REFRESH,2,每天只有一次机会哦
TEAM_REFRESH,2,刷新队伍信息
MESSAGE_COUNT_LIMIT,2,每天最多只能发送30次世界聊天信息
CHANNEL_LIMIT,2,发送信息间隔需要5秒钟
MESSAGE_WORLD_LIMIT,2,字数不能超过30个字
PET_TO_ITEM,8,女神#yellow%s#rf您已拥有，新获得的同名女神已转为碎魂
NO_RMB_GOLD,2,货币不足，无法购买
TRADE_LIMIT_COUNT,2,回收数量达到上限，凌晨0点会重置回收数量
TRADE_NO_COUNT,2,库存为0，凌晨0点会更新库存
RESULT_FRIEND_REFUSE,2,该玩家开启了拒绝好友申请功能，无法加为好友
RESULT_FACTION_CREATE_SUCCESS,2,成功创建公会！
EXIST_IN_WANTED_LIST,2,已发送过申请，请耐心等待该玩家处理
RESULT_FACTION_CHECK_MAX,2,公会人数达到上限
ADD_FRIEND_WITH_YOU,2,您与#yellow%s#rf成为了好友
RESULT_FACTION_IN_FACTION_CHECK,2,该玩家已经有公会了
DAILY_ERROR2,2,队员#yellow%s#rf行动力不足，无法参与活动
DAILY_ERROR3,2,#yellow%s#rf等级不足，无法参与活动
ADD_FRIEND_WRONG,2,添加好友出错
AGREE_ADD_FRIEND,2,#yellow%s#rf同意添加您为好友
REFUSE_ADD_FRIEND,2,#yellow%s#rf拒绝添加您为好友
DELETE_FRIEND,2,您与#yellow%s#rf解除好友关系
FRIEND_COUNT_LIMIT,2,好友数量已达到上限
FRIEND_IS_YOUSELF,2,无法查找您自己
FRIEND_ALREADY_IN_FRIENDGROUP,2,该玩家已经是您的好友
REFUSE_ADD_FACTION,2,#yellow%s#rf公会拒绝您的加入
AGREE_ADD_FACTION,2,您成功的加入#yellow%s#rf公会
ALREADY_IN_FACTION,2,您已经有自己的公会
FACTION_NO_JOINLEVEL,2,您的等级不够
FACTION_NO_EXIT,2,您申请的公会已经不存在了
FACTION_APPLY_MAX,2,您申请的公会人数已经达到上限
DELE_FRIEND,2,与该玩家解除了好友关系
FACTION_NO_FIRE,2,您没有开除公会成员权限
FACTION_NAME,2,公会名字不符合要求
PALYER_NO_EXSIT,2,该玩家不存在
FACTION_POST_MAX,2,该职位任命人数达到上限
NO_POST_PERSON,2,没有任命该职位的权限
FACTION_NO_POST,2,无法任命该职位
NO_LEVEL,2,等级不足
ROBBER_MAX,2,当前关卡人数已满
TEAM_OFFLINE,2,队伍中有离线队员
WAR_HORN_REWARD,2,您已经领取过奖励了
ERROR_AMBASSADOR_KEY,2,该邀请码不正确
