,名称,模型,难度系数,等级,生命上限,面板物理攻击,防御,出手速度,暴击值,抗暴值,爆伤加成,闪避值,命中值,无视防御,减免无视,暴伤减免,伤害增加,伤害减少,PVP伤加,PVP伤减,PVE伤加,PVE伤减,技能列表,技能队列,头目,普通技能ID
id_kn,name_s,shape,diff,level,maxhp,attack,defence,speed,critrate,critratedec,critdamage,dodge,hitrate,chuanjia,chuanjiadec,critdadec,attinc,attdec,pvpattinc,pvpattdec,pveattinc,pveattdec,skilllist_t,skillqueue_t,boss,ordinaryskillId_n
40000001,天将,20048,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000002,月兔,20002,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000003,鲛人,20003,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000004,狐妖,20004,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000005,巡海夜叉,20005,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000006,持国天王,20006,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000007,河神,20007,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000008,棕熊,20008,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000009,黑熊精,20009,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000010,人鱼公主,20010,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000011,猛虎,20011,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000012,广目天王,20049,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000013,重明鸟,20013,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000014,巨灵神,20014,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000015,趴趴熊,20015,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000016,九尾狐,20016,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000017,龙龟,20017,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000018,武士,20018,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000019,年兽,20019,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000020,黑风小妖,20020,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000021,熊猫,20021,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000022,黑水麒麟,20022,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000023,火德真君,20023,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000024,六耳猕猴,20024,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000025,地狱三头犬,20025,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000026,强盗,20028,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
40000027,白象王,20029,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,80008,"0,0,0,0",0,80008
60000001,混沌,20025,0,40,119512,24852,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80037,"0,0,0,0",1,80037
100109,小乌龟,100001,0,1,32,103,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
100110,鱼精,20005,0,1,530,133,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80046,"0,0,0,0",1,80046
100209,硬壳龟,100027,0,1,62,241,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
100210,黑水玄蛇,20022,0,1,1030,309,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80063,"0,0,0,0",1,80063
100309,蚌精,100005,0,1,81,317,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
100310,蓝巨人,20045,0,1,1356,407,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80086,"0,0,0,0",1,80086
100409,巫龟,100022,0,1,111,432,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
100410,水龙,20038,0,1,1848,554,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80079,"0,0,0,0",1,80079
100509,巫龟,100022,0,1,120,466,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
100510,鲨鱼精,20007,0,1,1992,598,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80048,"0,0,0,0",1,80048
100609,小乌龟,100001,0,1,126,492,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80001,"0,0,0,0",0,80001
100610,麒麟,20019,0,1,2103,631,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80105,"0,0,0,0",1,80105
100709,硬壳龟,100027,0,1,205,799,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80027,"0,0,0,0",0,80027
100710,冰龙,20030,0,1,3413,1024,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80071,"0,0,0,0",1,80071
100809,蚌精,100005,0,1,201,785,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80005,"0,0,0,0",0,80005
100810,混沌,100037,0,1,3356,1007,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80037,"0,0,0,0",1,80037
100909,巫龟,100022,0,1,203,791,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
100910,深渊之龙,100039,0,1,3381,1014,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80131,"0,0,0,0",1,80131
101009,巫龟,100022,0,1,225,879,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80022,"0,0,0,0",0,80022
101010,玄武,20042,0,1,3756,1127,0,1,10,0,1.2,5,10000000,0,0,0,0,0,0,0,0,0,80126,"0,0,0,0",1,80126
