组合索引,怪物队列
index_kn,queue_t
1,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
2,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
3,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
4,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
5,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
6,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
7,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
8,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
9,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
10,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
11,"[1]=504405,[2]=504405,[3]=504405,[4]=504405,[5]=504405,[6]=504405,[7]=504405,[8]=504405,[9]=504405,"
