地图Id,地图名称,序号,"坐标x ,y"
mapId_kn,,index_kn,pos_t
50001,,1,"180 ,37"
50001,,2,"162 ,34"
50001,,3,"163 ,47"
50001,,4,"153 ,47"
50001,,5,"179 ,44"
50001,,6,"158 ,20"
50001,,7,"32 ,37"
50001,,8,"119 ,36"
50001,,9,"119 ,47"
50001,,10,"107 ,48"
50001,,11,"96 ,48"
50001,,12,"76 ,34"
50001,,13,"76 ,43"
50001,,14,"67 ,48"
50001,,15,"49 ,42"
50001,,16,"40 ,47"
50001,,17,"29 ,46"
50001,,18,"26 ,39"
50001,,19,"16 ,24"
50001,,20,"35 ,34"
50002,,1,"84 ,20"
50002,,2,"7 ,30"
50002,,3,"90 ,44"
50002,,4,"25 ,32"
50002,,5,"36 ,20"
50002,,6,"105 ,16"
50002,,7,"104 ,32"
50002,,8,"114 ,31"
50002,,9,"104 ,48"
50002,,10,"41 ,42"
50002,,11,"131 ,21"
50002,,12,"135 ,33"
50002,,13,"128 ,41"
50002,,14,"119 ,47"
50002,,15,"147 ,35"
50002,,16,"152 ,26"
50002,,17,"151 ,45"
50002,,18,"47 ,29"
50002,,19,"59 ,25"
50002,,20,"72 ,42"
50003,,1,"77 ,40"
50003,,2,"85 ,49"
50003,,3,"28 ,33"
50003,,4,"82 ,19"
50003,,5,"91 ,37"
50003,,6,"96 ,27"
50003,,7,"45 ,23"
50003,,8,"43 ,33"
50003,,9,"38 ,44"
50003,,10,"63 ,26"
50003,,11,"57 ,39"
50003,,12,"66 ,49"
50003,,13,"123 ,45"
50003,,14,"130 ,25"
50003,,15,"135 ,38"
50003,,16,"146 ,33"
50003,,17,"151 ,42"
50003,,18,"154 ,23"
50003,,19,"166 ,32"
50003,,20,"167 ,46"
50004,,1,"48 ,32"
50004,,2,"63 ,25"
50004,,3,"42 ,24"
50004,,4,"64 ,43"
50004,,5,"77 ,25"
50004,,6,"70 ,32"
50004,,7,"51 ,41"
50004,,8,"38 ,41"
50004,,9,"9 ,26"
50004,,10,"90 ,43"
50004,,11,"31 ,31"
50004,,12,"106 ,27"
50004,,13,"24 ,41"
50004,,14,"121 ,25"
50004,,15,"15 ,33"
50004,,16,"133 ,37"
50004,,17,"14 ,43"
50004,,18,"146 ,28"
50004,,19,"155 ,35"
50004,,20,"167 ,26"
50005,,1,"114 ,47"
50005,,2,"62 ,48"
50005,,3,"9 ,33"
50005,,4,"133 ,27"
50005,,5,"142 ,35"
50005,,6,"8 ,42"
50005,,7,"22 ,31"
50005,,8,"155 ,36"
50005,,9,"121 ,30"
50005,,10,"24 ,44"
50005,,11,"106 ,35"
50005,,12,"97 ,45"
50005,,13,"38 ,31"
50005,,14,"95 ,28"
50005,,15,"84 ,30"
50005,,16,"38 ,47"
50005,,17,"51 ,38"
50005,,18,"77 ,48"
50005,,19,"61 ,34"
50005,,20,"73 ,32"
50006,,1,"11 ,20"
50006,,2,"169 ,21"
50006,,3,"40 ,17"
50006,,4,"42 ,31"
50006,,5,"51 ,20"
50006,,6,"14 ,34"
50006,,7,"52 ,42"
50006,,8,"65 ,20"
50006,,9,"23 ,33"
50006,,10,"69 ,39"
50006,,11,"30 ,25"
50006,,12,"87 ,33"
50006,,13,"103 ,28"
50006,,14,"117 ,29"
50006,,15,"130 ,23"
50006,,16,"22 ,16"
50006,,17,"145 ,34"
50006,,18,"143 ,25"
50006,,19,"151 ,14"
50006,,20,"156 ,25"
50090,,1,"96 ,46"
50090,,2,"118 ,43"
50090,,3,"140 ,46"
50090,,4,"104 ,32"
50090,,5,"144 ,35"
50090,,6,"174 ,45"
50090,,7,"150 ,45"
50090,,8,"130 ,37"
50090,,9,"50 ,49"
50090,,10,"61 ,41"
50090,,11,"69 ,39"
50090,,12,"30 ,42"
50090,,13,"87 ,33"
50090,,14,"103 ,28"
50090,,15,"117 ,29"
50090,,16,"130 ,40"
50090,,17,"30 ,43"
50090,,18,"145 ,34"
50090,,19,"143 ,45"
50090,,20,"151 ,46"
50028,,1,"85 ,67"
50028,,2,"88 ,62"
50028,,3,"80 ,70"
50028,,4,"84 ,75"
50028,,5,"84 ,84"
50028,,6,"95 ,85"
50028,,7,"111 ,83"
50028,,8,"119 ,77"
50028,,9,"118 ,67"
50028,,10,"129 ,83"
50028,,11,"135 ,74"
50028,,12,"135 ,56"
50028,,13,"113 ,46"
50028,,14,"98 ,41"
50028,,15,"113 ,38"
50028,,16,"100 ,40"
50028,,17,"100 ,70"
50028,,18,"91 ,98"
50028,,19,"79 ,85"
50028,,20,"60 ,90"
50028,,21,"100 ,100"
50028,,22,"58 ,73"
50028,,23,"61 ,82"
50028,,24,"72 ,86"
50028,,25,"85 ,85"
50028,,26,"65 ,64"
50028,,27,"60 ,58"
50028,,28,"86 ,52"
50028,,29,"82 ,60"
50028,,30,"62 ,51"
50028,,31,"96 ,48"
50028,,32,"86 ,43"
50028,,33,"76 ,44"
50028,,34,"99 ,61"
50028,,35,"83 ,78"
50028,,36,"95 ,75"
50028,,37,"90 ,67"
50028,,38,"110 ,66"
50028,,39,"114 ,75"
50028,,40,"112 ,83"
