entryId,名字,生命修正,物理伤害修正,护甲修正,防御穿透修正,减免无视,命中值修正,闪避值修正,暴击值修正,抗暴值修正,暴击伤害加成修正,暴击伤害减免修正,出手速度修正,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力修正
entryId_kn,name_s,hprevise,attrevise,defencerevise,chuanjiarevise,chuanjiadecrevise,hitraterevise,dodgerevise,critraterevise,critratedecrevise,critdamagerevise,critdadecrevise,speedrevise,attincrevise,attdecrevise,pvpattincrevise,pvpattdecrevise,pveattincrevise,pveattdecrevise,force
10001,,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
10002,,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
10003,,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17001,二郎神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17002,炼丹童子,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17003,功夫熊猫,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17004,孙悟空,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17005,大唐捕快,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
17006,狐狸精,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
17007,增长天王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
17008,青牛精,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
17009,多闻天王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
17010,雷震子,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20001,天将,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20002,月兔,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20003,鲛人,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20004,狐妖,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20005,巡海夜叉,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20006,持国天王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20007,河神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20008,棕熊,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20009,黑熊精,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20010,人鱼公主,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,1
20011,猛虎,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20012,广目天王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20013,重明鸟,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20014,巨灵神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20015,趴趴熊,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20016,变异九尾狐,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20017,龙龟,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20018,武士,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20019,年兽,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20020,黑风小妖,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20021,熊猫,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20022,黑水麒麟,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20023,火德真君,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20024,六耳猕猴,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20025,地狱三头犬,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20026,夜游神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20027,莲花仙子,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20028,强盗,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20029,白象王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20030,冰龙,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20031,剑侠兔,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20032,封蛇,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20033,神将,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20034,圣灵蝶,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20035,招财猫,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20036,熊猫大侠,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20037,青狮怪,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20038,东海龙王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20039,朱雀,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20040,青龙,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20041,白虎,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20042,玄武,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20043,猪八戒,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20044,虎力大仙,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20045,鲲鹏,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20046,奎木狼,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20047,鹿力大仙,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20048,申公豹,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20049,琵琶精,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20050,天神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20051,吕洞宾,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20052,嫦娥,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20053,三太子,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20054,斗战胜佛,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20055,太上老君,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20056,九尾狐,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20057,变异神将,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20058,象神,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20059,变异趴趴熊,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20060,变异广目天王,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
20061,变异武士,1,1,1,0,,0,1,1,1,1,1,1,,,,,,,
