索引,等级,组合随机抽取
index_kn,level_t,queue_t
1,"1,10","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
2,"10,40","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
3,"40,60","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
4,"60,80","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20001,20002,20003,20004,20005,20006,20007,20008,20009,20010}"
5,"80,100,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20011,20012,20013,20014,20015,20016,20017,20018,20019,20020}"
6,"100,120,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20011,20012,20013,20014,20015,20016,20017,20018,20019,20020}"
7,"120,140,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20011,20012,20013,20014,20015,20016,20017,20018,20019,20020}"
8,"140,160,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
9,"160,180,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
10,"180,200,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
11,"200,220,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
12,"220,240,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
13,"240,260,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
14,"260,280,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
15,"280,300,","[""role""]={10001,10002,10003},[""xianlv""]={17001,17002,17003,17004,17005},[""pet""]={20038,20039,20040,20041,20042,20043,20044,20045,20046,20047}"
