任务号,名字,类型,可否删除,环,节点数,生成任务条件,接任务条件,初始任务条件,交任务条件,任务奖励,下一个任务,提交条件,成功处理,失败处理,事件,flag
id_kn,name_s,type_n,canDelete_b,hoop_n,maxnode_n,build_t,accept_t,init_t,finish_t,prize_t,nexttask_t,commit_t,succeed_t,fail_t,event_t,flag_c
500000,鱼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40034]=1},[""BATTLE""]=41000","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500001,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500001,牛魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40035]=1},[""BATTLE""]=41001","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500002,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500002,鱼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40036]=1},[""BATTLE""]=41002","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500003,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500003,恶魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40037]=1},[""BATTLE""]=41003","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500004,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500004,牛魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40038]=1},[""BATTLE""]=41004","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500005,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500005,斧魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40039]=1},[""BATTLE""]=41005","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500006,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500006,斧魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40040]=1},[""BATTLE""]=41006","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500007,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500007,鱼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40041]=1},[""BATTLE""]=41007","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500008,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
500008,狼魔（封魔）,33,1,,,,"[""TEAM_SHARE""]=1,[""TEAM_MEMBER""]=3,[""ROBBER_PUBLISH""]=false,[""ROBBER_HANG""]=false","[""DEAD_LINE_DAY""]=1,[""AUTO_COMMIT""]=1,[""RANDOM""]=1,[""MAX_COUNT""]=10","[""KILL_MONSTER""]={[40042]=1},[""BATTLE""]=41008","FENG_MO_PRIZE_EX=1028,FENG_MO_FUNDS=1,FENG_MO_PLR_EXP=1,FENG_MO_PET_EXP=1","500000,500001,500002,500003,500004,500005,500006,500007,500009,500010,500011,500012,500013,500014,500015,500016,500017,500018,500019,500020,500021,500022,500023,500024,500025,500026,500027,500028,500029,",,,,,0
