entryId,名字,生命修正,物理伤害修正,护甲修正,防御穿透修正,减免无视,命中值修正,闪避值修正,暴击值修正,抗暴值修正,暴击伤害加成修正,暴击伤害减免修正,出手速度修正,伤害增加修正,伤害减少修正,PVP伤加修正,PVP伤减修正,PVE伤加修正,PVE伤减修正,战力修正
entryId_kn,name_s,hprevise,attrevise,defencerevise,chuanjiarevise,chuanjiadecrevise,hitraterevise,dodgerevise,critraterevise,critratedecrevise,critdamagerevise,critdadecrevise,speedrevise,attincrevise,attdecrevise,pvpattincrevise,pvpattdecrevise,pveattincrevise,pveattdecrevise,force
10001,,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
10002,,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
10003,,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17001,二郎神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17002,炼丹童子,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17003,功夫熊猫,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17004,孙悟空,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17005,大唐捕快,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17006,狐狸精,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17007,增长天王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17008,青牛精,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17009,多闻天王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
17010,雷震子,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20001,天将,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20002,月兔,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20003,鲛人,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20004,狐妖,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20005,巡海夜叉,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20006,持国天王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20007,河神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20008,棕熊,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20009,黑熊精,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20010,人鱼公主,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20011,猛虎,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20012,广目天王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20013,重明鸟,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20014,巨灵神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20015,趴趴熊,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20016,变异九尾狐,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20017,龙龟,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20018,武士,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20019,年兽,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20020,黑风小妖,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20021,熊猫,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20022,黑水麒麟,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20023,火德真君,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20024,六耳猕猴,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20025,地狱三头犬,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20026,夜游神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20027,莲花仙子,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20028,强盗,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20029,白象王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20030,冰龙,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20031,剑侠兔,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20032,封蛇,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20033,神将,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20034,圣灵蝶,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20035,招财猫,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20036,熊猫大侠,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20037,青狮怪,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20038,东海龙王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20039,朱雀,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20040,青龙,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20041,白虎,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20042,玄武,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20043,猪八戒,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20044,虎力大仙,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20045,鲲鹏,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20046,奎木狼,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20047,鹿力大仙,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20048,申公豹,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20049,琵琶精,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20050,天神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20051,吕洞宾,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20052,嫦娥,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20053,三太子,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20054,斗战胜佛,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20055,太上老君,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20056,九尾狐,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20057,变异神将,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20058,象神,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20059,变异趴趴熊,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20060,变异广目天王,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
20061,变异武士,0.25,0.25,0.25,0.25,,0.25,0.25,0.25,0.25,0.25,0.25,0.25,,,,,,,0.25
